category,sub-category,images,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42
Dangerous warning,Dangerous warning,2228.0,90.25992818671455,89.90097396768402,90.08050718132854,90.08015709156193,89.99049820466786,89.85729802513464,89.81120736086174,89.54201974865349,89.18276032315977,87.88091561938958,87.79072262118493
Regularoty,Priority ,1041.0,96.4449855907781,96.35083573487032,96.34975984630162,96.54334293948126,96.83009606147934,96.73368876080691,96.54211335254563,95.86991354466859,95.29190201729106,93.75687800192122,92.02617675312197
Regularoty,Prohibitory,3957.0,93.60638867829164,93.45352034369472,93.6300985595148,93.68011372251708,93.52852666161233,93.02456406368461,92.77235026535251,92.24196866312866,91.15491028556988,90.29503664392217,88.7546626231994
Regularoty,Mandatory,1203.0,93.93066500415628,93.84731504571904,93.76493765586036,94.01449709060684,93.93075644222779,93.76553615960103,93.59972568578556,93.43336658354117,92.18546134663343,91.27054862842893,90.43993349958436
Regularoty,Special regulations,1344.0,90.6252455357143,89.65937500000001,88.98796130952381,88.76551339285716,88.32059523809525,86.90581101190476,84.82327380952383,82.36529017857143,80.43281249999998,78.49968750000001,75.0760193452381
