category,sub-category,images,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42
Dangerous warning,Dangerous warning,2228.0,60.884201077199286,60.884201077199286,60.884201077199286,60.884201077199286,60.884201077199286,60.884201077199286,60.884201077199286,60.884201077199286,60.884201077199286,60.884201077199286,55.1391382405745
Regularoty,Priority ,1041.0,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814
Regularoty,Prohibitory,3957.0,83.34596916856204,83.34596916856204,83.34596916856204,83.34596916856204,83.34596916856204,80.42709123073035,72.85822592873389,78.39272175890827,80.42709123073035,78.39272175890827,83.34596916856204
Regularoty,Mandatory,1203.0,59.933499584372406,59.933499584372406,59.933499584372406,59.933499584372406,59.933499584372406,59.933499584372406,59.933499584372406,59.933499584372406,44.970906068162925,59.933499584372406,59.933499584372406
Regularoty,Special regulations,1344.0,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286,59.226190476190474,59.226190476190474,59.226190476190474,70.98214285714286,59.226190476190474,59.226190476190474,59.226190476190474
