filter,ideal_42,idealnoise_42
Original,94.5410790954671,93.06552205054743
fog,43.6235251202292,78.20445891742557
night,89.27054261741532,89.96526941573724
rain,92.97451979944745,92.26940335618542
snow,84.45019932467002,88.8353847334493
day,94.07761741532794,92.8375421058017
