filter,ideal_42,noise_42
Original,94.57075780210786,92.65331648419115
fognight,40.76228568505066,65.44682431187965
fogsnow,33.36148214468433,65.93364893072751
fograin,43.85877130870766,73.46771666837205
rainnight,62.685886933387906,73.0226663255909
snownight,25.771056175176504,53.53307326307174
