category,sub-category,images,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42
Dangerous warning,Dangerous warning,2228.0,92.59497307001796,92.04747127468582,90.79094434470377,89.38949012567323,88.07883213644524,85.98745601436266,84.37086445242369,82.94429802513466,80.0804263913824,78.93112477558348,77.08228635547576
Regularoty,Priority ,1041.0,96.7323823246878,96.48401152737752,95.75467243035543,95.00512968299711,93.90941594620558,92.4496945244957,91.37269356388089,89.77928914505284,88.91511047070125,87.64615561959656,86.59030931796349
Regularoty,Prohibitory,3957.0,95.04705332322465,93.54544301238312,91.64542330048015,89.71512408390194,87.25290775840284,84.61912661106899,82.43666060146576,79.65137578973972,77.02284255749305,74.86482385645691,72.92916704574172
Regularoty,Mandatory,1203.0,94.92930174563593,94.57994513715713,93.53338985868663,92.20264671654198,90.74026267664172,89.62687115544475,86.94974231088945,85.61966417290108,83.67417290108064,81.66223108894428,79.40117373233582
Regularoty,Special regulations,1344.0,91.29407738095239,90.1926964285714,88.42298809523808,86.79968154761904,85.1345074404762,83.37762648809523,82.09799702380954,80.23771726190475,78.36326190476191,76.39864136904762,75.49160119047619
