category,sub-category,images,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42
Dangerous warning,Dangerous warning,2228.0,93.22755834829442,92.29403231597846,91.05954398563733,89.25057450628367,88.00324551166968,86.25655700179533,84.42567953321365,82.46862836624776,80.59711400359066,78.82405700179534,76.56605924596052
Regularoty,Priority ,1041.0,97.12758405379442,96.7630864553314,96.00341786743516,94.86070605187321,93.72755139289146,92.18888280499522,91.0464284341979,89.29899231508166,88.14613064361193,87.0614447646494,85.22651488952928
Regularoty,Prohibitory,3957.0,95.59009603234773,94.27094642405862,92.64411094263332,90.4478948698509,88.14988501389942,85.45849810462471,82.67658807177153,80.13878746525144,77.85415542077332,74.88742734394745,72.4997846853677
Regularoty,Mandatory,1203.0,95.67667664172902,95.31918453865337,94.55539900249379,93.34173649210308,92.16971155444722,90.42383291770574,89.09457605985037,87.06553699085619,85.1955777223608,82.95905901911888,80.60623940149625
Regularoty,Special regulations,1344.0,90.61019270833333,89.16667410714287,87.9091845238095,86.24998288690476,84.36734598214284,82.55920982142858,80.50568229166669,78.82413988095237,76.69556026785713,75.088453125,72.73802157738096
