filter,rain,snow,fog,night
1.0,74.26589052747366,72.75423723460834,73.85161606754579,73.0544617407142
2.0,73.02554032794433,72.86578047606596,73.3419017398061,73.26139922152869
3.0,72.28722481581909,71.51442864126788,73.99418993176354,72.98295043405301
4.0,72.9097946510795,69.44167167542726,74.29287475698354,72.7249334484805
5.0,72.65142976823903,68.2179171640688,72.507496330771,73.51941620710119
6.0,72.49474809423921,69.13387945877594,70.09234391787322,72.01663098250282
7.0,70.1753221247314,65.56150760535766,65.15995310741329,70.90362167113476
8.0,69.8057365317712,66.4054145144155,63.270499762579306,70.39253193410417
9.0,70.29427159009516,63.96318064508794,59.65120997422747,70.60417313005219
10.0,69.15678892100686,58.63825015506314,54.01470960330759,70.44000339220301
