filter,snow,rain,night,fog
0.0,0.29446384620247434,0.21963402623284822,0.20816638395629672,0.3035634612023711
0.0,0.28590421022604007,0.31228465043498005,0.25195717593334144,0.2874637370611921
0.0,0.3844648977335728,0.24897514069259966,0.25315954796470125,0.24808130647011215
0.0,0.36812353833481987,0.3065929383050357,0.27605518919724514,0.2625850586676077
0.0,0.38446286855603046,0.2548820289366301,0.294834447741793,0.29376635338095203
0.0,0.3934464460382566,0.2880975328002288,0.3148608490341876,0.2753443014276865
0.0,0.3642358635106187,0.2553747896151107,0.37882920375892326,0.2627795524158675
0.0,0.527515875327858,0.31188821220719126,0.4563811949288493,0.3055486970328421
0.0,0.5315871176261746,0.17429299125907133,0.5114395421147322,0.42614712365397983
0.0,0.6192281490809494,0.24196540082585152,0.7092359040957629,0.6036306340480194
