category,sub-category,images,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42
Dangerous warning,Dangerous warning,2228.0,66.06822262118493,66.06822262118493,66.06822262118493,66.06822262118493,60.32315978456014,60.32315978456014,54.19658886894075,54.19658886894075,55.18402154398564,60.32315978456014,59.94165170556553
Regularoty,Priority ,1041.0,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814,92.89145052833814
Regularoty,Prohibitory,3957.0,80.5029062421026,83.34596916856204,80.5029062421026,80.5029062421026,74.82941622441244,77.49557745766995,74.87995956532727,63.41952994692949,71.89790245135204,65.61789234268385,69.2064695476371
Regularoty,Mandatory,1203.0,68.4954280964256,68.4954280964256,68.4954280964256,68.4954280964256,68.4954280964256,68.4954280964256,68.4954280964256,68.4954280964256,68.4954280964256,68.4954280964256,68.4954280964256
Regularoty,Special regulations,1344.0,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286,70.98214285714286
