epoch,model_52,model_49,model_42
1.0,1.8096081018447876,1.557172131538391,1.4845656871795654
2.0,0.8479799747467041,0.6883306980133057,0.6737974286079407
3.0,0.557661360502243,0.4759173274040222,0.45067968368530276
4.0,0.40675690174102785,0.386875706911087,0.3799977362155914
5.0,0.36725752949714663,0.379560649394989,0.3470276117324829
6.0,0.3840583026409149,0.3819652020931244,0.37950935363769533
7.0,0.3974624156951904,0.4298497259616852,0.3560267686843872
8.0,0.41219391822814944,0.4037507712841034,0.41955857872962954
9.0,0.4138248205184937,0.4686578631401062,0.40080271363258363
10.0,0.42385255694389345,0.46268523931503297,0.40777055025100706
11.0,0.4643255650997162,0.5064984500408173,0.4421018123626709
12.0,0.4602933764457703,0.5609185457229614,0.4937309265136719
13.0,0.49378044009208677,0.5263780057430267,0.5277658402919769
14.0,0.511241865158081,0.5710737347602844,0.5124731659889221
15.0,0.5060369551181794,0.5673065721988678,0.5361744463443756
16.0,0.5434556603431702,0.5946116328239441,0.5588938534259796
17.0,0.5528060734272003,0.5990616798400878,0.5501184105873108
18.0,0.5531702876091004,0.6111105680465698,0.5852815985679627
19.0,0.5800095081329346,0.6314043045043946,0.5777676284313202
20.0,0.57731311917305,0.6499752044677735,0.5972369194030762
21.0,0.5987025022506713,0.6684060096740723,0.6126327157020569
22.0,0.6167713284492493,0.6773749470710755,0.6271859049797058
23.0,0.6309218883514405,0.6987401962280273,0.6402065396308899
24.0,0.6466747999191285,0.7079176783561707,0.6528180122375489
25.0,0.6555152416229248,0.7415792346000671,0.6723950564861297
26.0,0.6252429604530334,0.8404101133346558,0.6457352638244629
27,0.6189542412757874, , 
28,0.6299282908439636, , 
