filter,rain,snow,fog,night
0.0,0.21045237875195813,0.3043639701128294,0.19973897966414958,0.22268119073908482
0.0,0.2694029083978003,0.3852584311907729,0.1894805885075584,0.22550989943222613
0.0,0.2789400083533807,0.38937211207479244,0.2819326672219029,0.2838091604757225
0.0,0.22489982461573998,0.41758857496894286,0.28256934589816896,0.2732868014082497
0.0,0.2832712336922233,0.5167784293565855,0.24746055611013482,0.28796098846976853
0.0,0.2690623973069662,0.5439737133375858,0.49457604589525,0.3402673998344719
0.0,0.28871060551843175,0.7418465277596282,0.6140343865360524,0.4647127782618199
0.0,0.2765547238125938,0.7013703511108395,1.0035388949818782,0.6131632341448403
0.0,0.2400316499269695,0.7627658470204952,1.4207873459691813,0.7788622024058951
0.0,0.37664601912033285,0.8043802823741968,1.7069848109780592,1.0584085171300213
