class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,95.12,51.22,34.15,39.02,74.8,29.27,123
1,93.18,34.09,15.91,27.27,56.82,38.64,44
2,90.74,40.74,33.33,46.3,70.37,16.67,54
3,76.19,23.81,14.29,19.05,28.57,9.52,21
4,88.89,33.33,33.33,44.44,33.33,22.22,9
5,85.71,42.86,14.29,28.57,57.14,14.29,7
6,90.0,30.0,26.67,33.33,50.0,16.67,60
7,87.5,0.0,7.5,15.0,35.0,12.5,40
8,33.33,0.0,0.0,0.0,0.0,0.0,3
9,33.33,0.0,33.33,0.0,66.67,0.0,3
10,92.31,76.92,53.85,61.54,76.92,38.46,13
11,86.67,26.67,6.67,13.33,40.0,22.22,45
12,95.92,46.94,28.57,35.71,66.33,37.76,98
13,50.0,0.0,25.0,0.0,0.0,0.0,4
14,33.33,0.0,0.0,0.0,0.0,0.0,3
15,95.57,46.2,31.01,43.04,72.15,32.28,158
16,92.31,66.3,42.12,57.14,72.16,33.7,273
17,88.46,42.31,26.92,28.85,69.23,28.85,52
18,60.0,20.0,0.0,0.0,20.0,20.0,5
19,95.28,31.13,16.98,25.47,64.15,13.21,106
20,97.84,61.9,55.41,66.23,75.76,42.86,231
21,92.47,29.03,11.83,27.96,65.59,22.58,93
22,81.54,69.23,56.92,70.77,69.23,46.15,65
23,98.15,71.69,51.08,64.0,82.46,45.23,325
24,80.0,20.0,10.0,5.0,60.0,25.0,20
25,95.24,14.29,4.76,23.81,33.33,9.52,21
26,86.36,36.36,18.18,63.64,72.73,9.09,22
27,0.0,0.0,5.88,0.0,0.0,0.0,17
28,96.48,27.34,23.05,23.05,56.64,18.36,256
29,89.47,19.3,7.02,14.04,31.58,7.02,57
30,97.45,77.73,65.66,74.48,86.08,46.4,431
31,95.0,45.0,28.89,51.11,67.78,18.89,180
32,97.47,48.03,37.36,57.02,64.04,23.6,356
33,83.33,72.22,50.0,61.11,77.78,50.0,18
34,100.0,66.67,28.57,33.33,85.71,23.81,21
35,100.0,5.71,17.14,31.43,57.14,2.86,35
36,100.0,62.99,63.64,74.03,77.92,40.91,154
37,95.68,22.3,10.79,15.83,45.32,10.79,139
38,100.0,33.33,0.0,44.44,44.44,0.0,9
39,93.94,42.42,18.18,36.36,81.82,27.27,33
40,93.62,51.06,25.53,44.68,61.7,17.02,47
41,97.94,75.26,65.98,72.16,85.57,47.42,97
42,93.59,50.0,52.56,51.28,71.79,37.18,78
43,92.59,42.59,37.04,50.0,62.96,24.07,54
44,71.43,28.57,28.57,42.86,42.86,71.43,7
45,98.87,56.6,32.83,50.19,66.42,24.91,265
46,97.25,46.67,30.59,42.35,66.67,31.37,255
47,77.78,18.52,11.11,14.81,44.44,22.22,27
48,94.14,48.77,40.74,53.4,67.59,33.64,324
49,96.43,50.0,35.71,44.64,69.64,32.14,56
50,95.89,41.3,32.61,47.1,70.05,31.64,414
51,97.94,44.44,26.75,43.62,60.49,24.28,243
52,98.55,50.83,36.78,45.66,65.29,22.11,484
53,90.34,16.39,6.3,13.03,42.86,12.61,238
54,56.25,12.5,0.0,12.5,37.5,6.25,16
55,97.84,16.02,10.39,14.72,51.52,10.82,231
56,83.33,0.0,0.0,8.33,12.5,8.33,24
57,95.92,39.8,23.47,34.18,62.24,20.41,196
58,91.67,33.33,8.33,0.0,66.67,8.33,12
59,100.0,18.52,3.7,18.52,51.85,18.52,27
60,93.65,38.1,23.81,30.16,60.32,20.63,63
61,91.07,30.36,7.14,19.64,62.5,16.07,56
62,93.94,33.33,21.21,24.24,60.61,18.18,33
