class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
64,45.45,27.27,18.18,27.27,27.27,27.27,36.36,36.36,27.27,18.18,36.36,11
65,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,77.78,77.78,66.67,9
66,84.62,79.23,76.92,79.23,75.38,74.62,77.69,76.92,76.92,76.15,73.08,130
67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.44,98.33,98.33,98.89,180
68,86.11,91.67,91.67,88.89,91.67,91.67,88.89,91.67,88.89,88.89,86.11,36
69,63.64,72.73,72.73,72.73,72.73,72.73,72.73,72.73,63.64,63.64,63.64,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58
71,95.83,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24
72,97.67,97.67,96.51,97.67,96.51,96.51,97.67,97.67,97.67,95.35,95.35,86
73,97.96,93.88,93.88,95.92,97.96,97.96,95.92,97.96,97.96,95.92,95.92,49
74,95.63,96.6,97.09,97.09,96.6,96.12,95.15,94.66,94.66,92.72,89.81,206
75,92.16,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,90.2,51
76,83.33,88.89,88.89,88.89,88.89,88.89,77.78,77.78,77.78,77.78,72.22,18
77,87.68,86.23,86.23,86.96,86.96,85.51,85.51,86.96,85.51,84.06,83.33,138
78,97.46,97.97,97.97,97.97,97.97,97.97,97.97,95.94,96.45,95.94,95.43,197
79,91.26,91.26,91.26,91.26,91.26,91.26,91.26,92.23,91.26,93.2,92.23,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,83.33,83.33,80.56,77.78,80.56,80.56,80.56,77.78,77.78,75.0,66.67,36
82,85.71,85.71,85.71,85.71,85.71,85.71,100.0,85.71,71.43,71.43,71.43,7
83,97.44,98.72,98.72,97.44,98.72,97.44,98.72,98.72,97.44,91.03,93.59,78
84,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.0,25.0,4
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
