class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,98.37,98.37,98.37,98.37,97.56,96.75,98.37,95.12,96.75,93.5,93.5,123
1,90.91,90.91,90.91,90.91,90.91,86.36,90.91,86.36,79.55,86.36,81.82,44
2,81.48,79.63,81.48,72.22,77.78,74.07,75.93,75.93,68.52,68.52,64.81,54
3,66.67,71.43,71.43,61.9,57.14,66.67,57.14,52.38,57.14,38.1,52.38,21
4,66.67,66.67,66.67,77.78,66.67,55.56,55.56,55.56,44.44,55.56,66.67,9
5,57.14,57.14,57.14,71.43,57.14,57.14,57.14,57.14,71.43,85.71,85.71,7
6,93.33,90.0,85.0,85.0,85.0,80.0,80.0,75.0,78.33,76.67,71.67,60
7,82.5,80.0,70.0,75.0,72.5,72.5,65.0,62.5,65.0,57.5,60.0,40
8,66.67,66.67,66.67,66.67,66.67,33.33,33.33,0.0,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,66.67,33.33,33.33,33.33,66.67,33.33,33.33,3
10,84.62,84.62,84.62,84.62,84.62,76.92,92.31,84.62,76.92,76.92,84.62,13
11,86.67,86.67,91.11,93.33,82.22,82.22,84.44,77.78,86.67,82.22,77.78,45
12,91.84,90.82,91.84,91.84,86.73,88.78,87.76,81.63,86.73,85.71,79.59,98
13,75.0,75.0,25.0,75.0,50.0,25.0,50.0,50.0,50.0,25.0,50.0,4
14,66.67,33.33,33.33,66.67,33.33,66.67,33.33,33.33,33.33,33.33,33.33,3
15,93.04,91.77,93.04,91.14,92.41,91.14,89.87,87.34,87.34,91.77,85.44,158
16,93.04,93.04,90.84,91.58,92.67,90.11,88.28,89.38,87.91,86.08,87.55,273
17,82.69,82.69,84.62,86.54,80.77,80.77,78.85,78.85,78.85,71.15,69.23,52
18,100.0,100.0,100.0,80.0,100.0,80.0,80.0,100.0,60.0,80.0,20.0,5
19,91.51,91.51,90.57,92.45,92.45,92.45,93.4,86.79,85.85,88.68,78.3,106
20,97.84,97.84,97.4,97.4,95.67,94.37,94.37,94.37,92.64,93.07,93.07,231
21,94.62,94.62,93.55,92.47,91.4,89.25,95.7,92.47,91.4,90.32,86.02,93
22,83.08,83.08,83.08,83.08,81.54,80.0,81.54,80.0,80.0,81.54,80.0,65
23,96.62,97.23,96.92,95.08,96.0,93.85,95.69,93.54,92.62,92.92,92.92,325
24,50.0,50.0,50.0,60.0,50.0,55.0,45.0,45.0,20.0,40.0,50.0,20
25,76.19,76.19,80.95,80.95,85.71,76.19,76.19,76.19,61.9,71.43,71.43,21
26,95.45,95.45,95.45,90.91,95.45,90.91,95.45,90.91,90.91,90.91,90.91,22
27,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,17.65,5.88,17
28,97.27,96.09,97.66,95.7,95.31,91.02,90.23,91.41,87.11,89.84,86.33,256
29,70.18,77.19,70.18,78.95,71.93,75.44,63.16,59.65,59.65,61.4,63.16,57
30,97.68,97.68,97.68,96.98,97.45,96.98,97.22,96.75,97.91,96.06,96.75,431
31,87.78,87.78,88.33,88.89,88.33,86.67,86.67,88.33,88.89,89.44,87.22,180
32,96.35,96.07,95.51,95.22,94.1,94.66,92.7,92.13,91.85,91.85,91.29,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.24,100.0,100.0,100.0,21
35,91.43,88.57,88.57,94.29,94.29,91.43,88.57,91.43,80.0,80.0,82.86,35
36,97.4,98.05,96.1,95.45,96.1,98.7,96.75,96.75,96.75,94.81,95.45,154
37,96.4,95.68,94.96,95.68,96.4,94.24,92.09,92.09,92.81,88.49,84.89,139
38,100.0,100.0,88.89,100.0,100.0,88.89,77.78,77.78,77.78,88.89,77.78,9
39,78.79,78.79,72.73,81.82,78.79,75.76,72.73,78.79,72.73,66.67,81.82,33
40,80.85,82.98,82.98,82.98,80.85,85.11,82.98,78.72,72.34,76.6,78.72,47
