category,sub-category,images,Original_model_52,Original_model_49,Original_model_42,fogmild_model_52,fogmild_model_49,fogmild_model_42,fogmedium_model_52,fogmedium_model_49,fogmedium_model_42,fogheavy_model_52,fogheavy_model_49,fogheavy_model_42,rainmild_model_52,rainmild_model_49,rainmild_model_42,rainmedium_model_52,rainmedium_model_49,rainmedium_model_42,rainheavy_model_52,rainheavy_model_49,rainheavy_model_42,snowmild_model_52,snowmild_model_49,snowmild_model_42,snowmedium_model_52,snowmedium_model_49,snowmedium_model_42,snowheavy_model_52,snowheavy_model_49,snowheavy_model_42,nightmild_model_52,nightmild_model_49,nightmild_model_42,nightmedium_model_52,nightmedium_model_49,nightmedium_model_42,nightheavy_model_52,nightheavy_model_49,nightheavy_model_42
Dangerous warning,Dangerous warning,2228,85.20370736086176,82.753078994614,79.95236086175943,80.08701077199282,80.19473070017953,80.08701077199282,80.34834380610413,77.77103231597846,77.61842908438061,45.76873877917415,43.8841382405745,34.79730251346499,85.20370736086176,82.753078994614,79.95236086175943,85.20370736086176,82.753078994614,79.95236086175943,82.78000897666068,82.753078994614,82.64535906642729,63.41836175942549,77.57354578096948,73.2502737881508,41.26745511669659,55.96151256732496,56.12809245960503,37.01750448833034,34.270148114901254,29.95837073608618,85.20370736086176,82.753078994614,79.95236086175943,85.20370736086176,82.753078994614,79.95236086175943,82.78000897666068,82.753078994614,79.95236086175943
Regularoty,Priority ,1041,92.89145052833814,77.65394812680115,87.71613832853026,92.89145052833814,82.82926032660903,87.71613832853026,82.82926032660903,82.82926032660903,82.82926032660903,56.65675312199808,57.23704130643612,72.47863592699328,92.89145052833814,82.82926032660903,87.71613832853026,88.00457252641691,77.65394812680115,82.82926032660903,82.82926032660903,77.65394812680115,82.82926032660903,72.77048991354467,72.77048991354467,72.77048991354467,62.70829971181556,72.47112391930835,46.59456292026898,63.00015369836696,45.41723342939481,50.59254562920269,87.71613832853026,77.65394812680115,87.71613832853026,92.89145052833814,82.54082612872237,87.71613832853026,92.89145052833814,77.65394812680115,82.82926032660903
Regularoty,Prohibitory,3957,90.51680566085419,90.6810715188274,84.75486479656306,89.01314126863785,89.08895628001011,84.72327520849127,80.43284306292647,80.54953247409654,77.88447308567098,29.029835734142022,33.59825625473844,36.41072024260804,92.02047005307051,90.51680566085419,86.17007834217841,87.67374273439475,88.87414708112206,87.53474854687894,86.28323477381855,85.99949456659085,87.7621935809957,57.26447308567097,59.382431134698,55.87339903967652,41.88540813747789,46.13372251705838,46.173348496335606,31.316780389183723,34.81102350265352,35.05517311094263,90.51680566085419,89.03841293909528,87.53474854687894,89.17740712661106,90.51680566085419,87.67374273439475,85.94895122567601,84.75429871114481,84.6095526914329
Regularoty,Mandatory,1203,78.96924355777224,74.72984206151288,78.96924355777224,73.23358270989195,68.99418121363259,74.68827930174564,68.99418121363259,74.68827930174564,74.68827930174564,25.449717373233582,25.72734829592685,17.664172901080633,74.72984206151288,74.72984206151288,74.68827930174564,78.96924355777224,74.72984206151288,78.96924355777224,78.96924355777224,74.72984206151288,78.96924355777224,68.24655029093933,67.7755527847049,63.77058187863675,31.684131338320864,34.67615128844555,39.06949293433084,34.717714048212805,19.00699085619285,17.82992518703242,74.72984206151288,74.72984206151288,78.96924355777224,80.46550290939318,80.46550290939318,78.96924355777224,70.44887780548629,70.44887780548629,74.72984206151288
Regularoty,Special regulations,1344,81.17559523809523,82.34087797619047,90.17857142857143,77.25733630952382,86.2603125,86.2603125,73.53675595238096,82.34087797619047,73.3379017857143,26.821383928571425,37.03919642857142,52.45299107142858,81.17559523809523,82.34087797619047,90.17857142857143,85.49107142857143,82.34087797619047,86.2603125,76.78571428571429,77.95099702380952,86.2603125,53.895431547619054,59.3141369047619,57.54160714285715,47.20898809523809,51.03930059523809,47.81860119047619,38.900848214285716,33.20888392857143,27.990565476190483,76.78571428571429,82.34087797619047,90.17857142857143,81.17559523809523,77.95099702380952,85.49107142857143,72.86745535714286,77.95099702380952,81.5728125
