filter,ideal_42,noise_42
Original,94.15697840990484,93.07258364882843
fognight,42.06438862171288,65.05704184999487
fogsnow,32.8665476312289,66.84759439271464
fograin,44.51063235444593,74.95152153893379
rainnight,62.539485316688825,73.18132405607285
snownight,26.266579351273915,53.37150721375218
