class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,98.37,95.93,89.43,84.55,78.05,77.24,47.97,35.77,10.57,2.44,0.0,123
1,93.18,86.36,84.09,70.45,65.91,52.27,31.82,31.82,6.82,0.0,0.0,44
2,87.04,68.52,68.52,51.85,55.56,31.48,11.11,3.7,0.0,1.85,0.0,54
3,76.19,61.9,57.14,52.38,42.86,19.05,9.52,0.0,0.0,0.0,0.0,21
4,88.89,88.89,77.78,55.56,55.56,22.22,22.22,22.22,0.0,0.0,0.0,9
5,100.0,85.71,85.71,100.0,57.14,57.14,0.0,0.0,0.0,0.0,0.0,7
6,91.67,81.67,75.0,63.33,68.33,36.67,25.0,10.0,5.0,1.67,0.0,60
7,90.0,30.0,20.0,15.0,12.5,2.5,2.5,2.5,0.0,0.0,0.0,40
8,66.67,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,66.67,33.33,33.33,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,3
10,92.31,76.92,76.92,76.92,61.54,46.15,23.08,0.0,0.0,0.0,0.0,13
11,95.56,88.89,82.22,60.0,48.89,28.89,17.78,8.89,2.22,0.0,0.0,45
12,90.82,77.55,69.39,66.33,57.14,41.84,32.65,16.33,2.04,1.02,0.0,98
13,50.0,25.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,4
14,33.33,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,94.94,88.61,86.71,80.38,67.09,53.16,48.73,21.52,6.96,1.9,0.0,158
16,93.41,90.48,85.35,83.52,76.19,71.79,59.34,43.96,28.21,8.79,2.2,273
17,92.31,75.0,71.15,63.46,53.85,26.92,21.15,7.69,1.92,0.0,0.0,52
18,80.0,80.0,20.0,60.0,40.0,40.0,60.0,40.0,0.0,0.0,0.0,5
19,94.34,79.25,69.81,58.49,44.34,25.47,12.26,2.83,0.0,0.0,0.0,106
20,97.4,93.07,88.31,86.58,81.39,71.0,54.98,35.93,11.26,1.3,0.0,231
21,94.62,77.42,72.04,65.59,55.91,36.56,25.81,16.13,18.28,7.53,1.08,93
22,80.0,80.0,80.0,80.0,78.46,70.77,63.08,40.0,10.77,0.0,0.0,65
23,98.46,92.92,91.08,88.0,77.85,68.62,56.62,38.46,18.77,1.54,0.0,325
24,70.0,35.0,25.0,15.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,20
25,80.95,76.19,57.14,57.14,52.38,28.57,23.81,14.29,0.0,0.0,0.0,21
26,90.91,86.36,81.82,72.73,36.36,31.82,9.09,18.18,0.0,0.0,0.0,22
27,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,98.44,90.23,85.16,73.05,69.14,59.38,48.05,30.08,15.23,7.81,3.12,256
29,92.98,64.91,61.4,49.12,36.84,24.56,15.79,3.51,0.0,0.0,0.0,57
30,98.38,94.9,94.43,91.18,89.79,85.61,74.25,64.97,45.94,21.58,5.8,431
31,95.0,90.56,91.67,85.0,81.67,72.22,66.67,39.44,22.78,11.67,12.22,180
32,98.03,93.26,91.01,84.55,79.78,71.63,62.92,47.19,29.21,13.2,3.37,356
33,83.33,77.78,83.33,77.78,66.67,77.78,44.44,33.33,16.67,11.11,0.0,18
34,100.0,100.0,100.0,90.48,71.43,61.9,38.1,23.81,0.0,0.0,0.0,21
35,100.0,82.86,62.86,62.86,60.0,34.29,14.29,8.57,8.57,0.0,0.0,35
36,100.0,96.1,92.21,90.26,88.31,70.13,62.34,46.75,18.18,3.25,0.65,154
37,94.96,93.53,91.37,84.89,71.94,66.19,43.17,25.9,12.23,5.04,1.44,139
38,100.0,88.89,88.89,44.44,55.56,55.56,44.44,11.11,0.0,0.0,0.0,9
39,87.88,78.79,75.76,66.67,60.61,30.3,18.18,3.03,6.06,0.0,0.0,33
40,93.62,85.11,80.85,68.09,61.7,46.81,34.04,25.53,2.13,0.0,2.13,47
41,97.94,95.88,93.81,93.81,85.57,72.16,64.95,41.24,15.46,6.19,8.25,97
42,96.15,85.9,79.49,78.21,74.36,57.69,39.74,17.95,5.13,0.0,0.0,78
43,94.44,81.48,81.48,72.22,70.37,53.7,29.63,25.93,5.56,0.0,0.0,54
44,100.0,71.43,57.14,57.14,57.14,42.86,0.0,14.29,0.0,0.0,0.0,7
45,100.0,93.58,91.32,86.79,75.09,64.91,44.91,23.02,8.3,3.02,0.0,265
46,98.04,81.96,75.69,65.1,54.9,40.78,27.84,13.33,3.53,0.0,1.18,255
47,88.89,70.37,55.56,40.74,40.74,25.93,3.7,0.0,0.0,0.0,0.0,27
48,94.75,88.58,85.49,80.25,70.68,55.56,40.74,27.47,10.8,1.54,0.0,324
49,87.5,83.93,87.5,82.14,69.64,71.43,50.0,33.93,10.71,5.36,0.0,56
50,96.86,88.41,87.2,81.4,72.95,65.94,52.9,35.99,27.78,11.11,3.62,414
51,99.18,80.66,71.19,62.96,51.44,41.98,27.98,16.05,9.88,0.0,0.0,243
