category,sub-category,images,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42
Dangerous warning,Dangerous warning,2228,92.95417863554758,92.86496858168759,92.32485188509874,91.56257181328546,89.766157989228,88.28660682226213,87.07368491921005,83.30470825852782,79.04060143626569,71.6771499102334,65.03396768402155
Regularoty,Priority ,1041,97.1180595581172,97.11871277617675,97.02213256484151,96.64004803073968,96.63904899135447,95.9652641690682,95.19433237271855,93.66140249759847,91.35616714697407,87.70305475504323,84.34334293948127
Regularoty,Prohibitory,3957,95.62766489764974,95.37539044730856,95.27334091483446,94.66874399797827,93.78242355319685,92.77302249178672,90.19575941369723,86.27693454637351,82.51233510235029,76.74908516552942,68.00619155926206
Regularoty,Mandatory,1203,96.0927680798005,95.75975062344139,95.92651704073151,95.92773898586866,95.26139650872818,94.67951787198669,93.76422277639233,92.51920199501248,89.36084788029926,86.0350540315877,80.63322527015794
Regularoty,Special regulations,1344,88.98811011904765,88.98607886904763,88.8411830357143,88.24421875000003,87.79707589285715,87.49967261904762,85.1913392857143,82.6640550595238,77.45242559523808,73.21368303571427,70.09119047619046
