class,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42,images
34,95.24,100.0,100.0,90.48,90.48,85.71,85.71,85.71,90.48,80.95,80.95,80.95,100.0,100.0,100.0,100.0,100.0,100.0,21
35,97.14,94.29,94.29,68.57,68.57,48.57,71.43,74.29,62.86,60.0,77.14,68.57,85.71,85.71,88.57,91.43,82.86,91.43,35
36,99.35,100.0,99.35,94.81,90.26,93.51,94.16,93.51,90.91,96.1,94.16,87.66,99.35,99.35,98.7,99.35,100.0,99.35,154
37,93.53,96.4,94.24,55.4,58.27,69.06,66.19,52.52,77.7,59.71,64.03,79.86,94.24,92.81,93.53,92.09,94.96,94.96,139
38,66.67,100.0,66.67,66.67,33.33,33.33,22.22,33.33,33.33,44.44,55.56,22.22,66.67,100.0,55.56,66.67,100.0,55.56,9
39,87.88,78.79,84.85,63.64,54.55,48.48,66.67,60.61,60.61,60.61,57.58,72.73,84.85,78.79,81.82,84.85,75.76,87.88,33
40,87.23,89.36,85.11,63.83,61.7,57.45,61.7,65.96,55.32,51.06,65.96,55.32,80.85,89.36,80.85,82.98,82.98,74.47,47
41,92.78,93.81,94.85,86.6,87.63,89.69,85.57,87.63,89.69,87.63,86.6,91.75,93.81,93.81,95.88,93.81,93.81,95.88,97
42,96.15,97.44,94.87,78.21,87.18,76.92,82.05,82.05,75.64,73.08,80.77,69.23,92.31,96.15,88.46,94.87,93.59,92.31,78
43,100.0,98.15,92.59,75.93,72.22,72.22,81.48,83.33,79.63,79.63,81.48,74.07,88.89,94.44,90.74,88.89,92.59,92.59,54
44,71.43,71.43,71.43,57.14,71.43,71.43,42.86,42.86,57.14,57.14,71.43,57.14,71.43,71.43,57.14,57.14,71.43,71.43,7
45,99.25,99.62,98.87,93.21,90.19,90.57,92.83,90.94,89.81,93.58,89.43,89.43,98.49,99.25,98.11,98.49,97.74,96.98,265
46,95.29,98.04,97.25,84.71,86.67,92.94,92.55,90.98,94.12,88.63,90.59,93.73,96.47,97.65,96.86,96.47,97.65,96.47,255
47,85.19,70.37,81.48,40.74,40.74,40.74,40.74,37.04,33.33,37.04,44.44,55.56,88.89,74.07,81.48,77.78,59.26,74.07,27
48,92.59,92.59,93.83,75.62,71.91,79.94,79.63,78.7,78.7,76.85,78.7,82.1,91.36,91.05,91.36,90.12,88.89,91.67,324
49,87.5,91.07,82.14,62.5,69.64,76.79,58.93,73.21,64.29,62.5,64.29,66.07,87.5,94.64,87.5,91.07,91.07,83.93,56
50,95.65,94.44,95.41,74.15,71.74,72.22,73.19,71.74,65.94,72.46,68.36,68.6,92.03,91.55,89.61,91.79,90.82,90.82,414
51,94.24,95.06,96.3,76.54,67.9,72.84,74.9,74.07,68.31,65.84,72.02,73.66,90.53,94.24,92.59,92.18,94.24,92.59,243
52,95.25,95.45,95.66,82.02,79.13,77.69,80.37,80.58,79.96,79.96,82.23,81.2,94.63,95.04,93.6,94.21,93.6,93.6,484
53,86.97,85.29,87.82,66.39,60.5,59.66,65.13,64.29,62.61,68.49,57.14,64.71,87.39,82.35,81.93,82.77,80.25,83.61,238
54,62.5,50.0,56.25,12.5,25.0,6.25,18.75,25.0,18.75,12.5,18.75,12.5,31.25,31.25,43.75,50.0,43.75,25.0,16
55,94.37,94.81,92.21,64.07,67.53,71.0,64.07,72.73,68.83,64.5,70.13,66.23,88.31,91.34,90.91,90.48,92.21,88.31,231
56,75.0,66.67,62.5,25.0,25.0,16.67,20.83,29.17,33.33,37.5,41.67,29.17,50.0,54.17,54.17,58.33,62.5,50.0,24
57,94.39,91.33,89.8,74.49,65.31,73.98,72.96,68.37,73.98,74.49,65.31,73.47,92.35,88.78,89.8,89.29,88.78,88.27,196
58,100.0,83.33,75.0,66.67,41.67,58.33,83.33,50.0,58.33,66.67,58.33,50.0,75.0,66.67,75.0,75.0,58.33,75.0,12
59,100.0,100.0,100.0,40.74,59.26,29.63,37.04,37.04,48.15,29.63,44.44,59.26,92.59,96.3,92.59,92.59,100.0,88.89,27
60,96.83,95.24,96.83,66.67,68.25,82.54,69.84,68.25,73.02,53.97,57.14,76.19,92.06,93.65,93.65,85.71,93.65,90.48,63
61,96.43,98.21,98.21,76.79,64.29,69.64,69.64,75.0,71.43,62.5,76.79,67.86,94.64,94.64,96.43,94.64,94.64,94.64,56
62,75.76,69.7,84.85,72.73,57.58,60.61,54.55,57.58,69.7,57.58,45.45,66.67,75.76,66.67,78.79,75.76,66.67,78.79,33
63,93.33,96.0,94.67,68.44,66.67,76.44,86.67,84.89,82.67,85.33,85.78,84.44,86.22,88.44,85.78,86.67,85.78,87.11,225
64,54.55,45.45,81.82,27.27,27.27,45.45,9.09,36.36,36.36,0.0,27.27,27.27,36.36,45.45,9.09,54.55,36.36,54.55,11
65,100.0,44.44,88.89,22.22,22.22,44.44,22.22,44.44,44.44,44.44,11.11,22.22,55.56,33.33,66.67,55.56,55.56,77.78,9
66,83.08,83.85,87.69,62.31,62.31,73.08,69.23,76.92,73.85,74.62,75.38,73.08,78.46,74.62,85.38,77.69,78.46,79.23,130
67,100.0,99.44,99.44,88.89,85.0,86.11,97.22,92.78,87.78,96.11,95.56,87.22,99.44,98.89,97.78,100.0,98.33,96.67,180
68,94.44,88.89,91.67,77.78,63.89,77.78,77.78,75.0,77.78,72.22,77.78,75.0,88.89,88.89,88.89,91.67,91.67,88.89,36
69,72.73,72.73,72.73,72.73,72.73,45.45,63.64,72.73,63.64,63.64,72.73,63.64,72.73,72.73,72.73,72.73,72.73,72.73,11
70,98.28,100.0,100.0,74.14,81.03,77.59,87.93,93.1,86.21,94.83,91.38,93.1,98.28,94.83,100.0,94.83,100.0,100.0,58
71,100.0,95.83,100.0,66.67,79.17,62.5,83.33,91.67,66.67,87.5,83.33,66.67,87.5,100.0,95.83,91.67,87.5,100.0,24
72,96.51,94.19,96.51,82.56,76.74,84.88,90.7,88.37,84.88,84.88,84.88,89.53,93.02,90.7,97.67,93.02,93.02,95.35,86
73,97.96,91.84,97.96,91.84,85.71,89.8,93.88,87.76,91.84,95.92,85.71,91.84,95.92,91.84,95.92,97.96,89.8,93.88,49
74,97.57,95.63,95.15,76.7,75.24,82.04,82.52,83.01,82.04,84.95,83.5,83.98,91.75,91.75,92.72,92.72,91.26,92.23,206
75,96.08,90.2,98.04,80.39,72.55,90.2,84.31,92.16,88.24,88.24,86.27,94.12,88.24,88.24,96.08,90.2,88.24,94.12,51
76,83.33,88.89,88.89,44.44,50.0,55.56,50.0,61.11,50.0,61.11,55.56,50.0,66.67,77.78,77.78,66.67,77.78,83.33,18
77,89.13,90.58,89.86,68.12,67.39,73.19,74.64,78.99,80.43,78.99,77.54,80.43,85.51,83.33,86.23,84.06,80.43,86.23,138
78,100.0,97.97,97.46,80.2,78.68,86.8,92.89,89.85,88.83,91.37,89.85,93.4,97.46,95.94,98.48,97.97,96.95,96.95,197
79,93.2,89.32,93.2,87.38,80.58,85.44,84.47,80.58,83.5,85.44,80.58,84.47,95.15,91.26,95.15,94.17,90.29,94.17,103
80,100.0,100.0,100.0,66.67,100.0,33.33,100.0,100.0,100.0,66.67,100.0,66.67,100.0,100.0,100.0,100.0,100.0,100.0,3
