category,images,Original_model_52_noise,Original_model_49_noise,Original_model_42_noise,fognight_model_52_noise,fognight_model_49_noise,fognight_model_42_noise,fogsnow_model_52_noise,fogsnow_model_49_noise,fogsnow_model_42_noise,fograin_model_52_noise,fograin_model_49_noise,fograin_model_42_noise,rainnight_model_52_noise,rainnight_model_49_noise,rainnight_model_42_noise,snownight_model_52_noise,snownight_model_49_noise,snownight_model_42_noise
Dangerous warning,2228,90.48528276481149,90.7992684021544,90.97970377019749,73.51912926391383,71.99136894075406,73.20406642728906,74.10176840215438,72.35079443447037,74.46026481149012,74.45955565529623,73.43063734290845,74.28097845601435,88.688842010772,88.465763016158,88.77842459605027,87.97083931777378,87.88184919210055,89.3172935368043
Regularoty,7545,93.36011133200795,93.35983962889331,93.39929887342612,77.34860304837642,75.1879072233267,74.75089860834989,80.29066931742877,79.27064546056992,80.741831676607,80.57055400927767,79.26997614314114,80.55754937044401,91.11932803180915,90.81396686547383,90.6692220013254,91.12011530815109,90.65511199469846,90.96022531477801
