category,sub-category,images,Original_model_52,Original_model_49,Original_model_42,fognight_model_52,fognight_model_49,fognight_model_42,fogsnow_model_52,fogsnow_model_49,fogsnow_model_42,fograin_model_52,fograin_model_49,fograin_model_42,rainnight_model_52,rainnight_model_49,rainnight_model_42,snownight_model_52,snownight_model_49,snownight_model_42
Dangerous warning,Dangerous warning,2228,90.53045332136446,90.21629712746858,90.57658438061041,71.4984380610413,72.35288150807901,74.01263464991024,73.07070017953322,73.11645421903053,75.0895960502693,73.47429982046678,74.50652154398563,74.90961400359065,89.09390933572709,87.83588420107719,88.1954039497307,88.28614452423699,87.79127468581689,88.55472172351885
Regularoty,Priority ,1041,96.7325744476465,95.9677329490874,96.06015369836695,87.32346781940443,85.01552353506244,85.59150816522575,89.33757925072045,87.41655139289146,90.29926993275697,89.0518828049952,88.18575408261287,90.87569644572527,95.39217098943324,94.62046109510086,94.71579250720461,95.86896253602305,94.7159558117195,94.81110470701249
Regularoty,Prohibitory,3957,93.42902451352033,93.30172858225932,93.48062673742734,74.3494263330806,71.97342683851402,75.2341723527925,75.94231741218094,75.78989385898409,75.23408895628003,74.52530957796309,74.77903462218852,76.19428354814252,90.77522618145059,90.97856709628503,90.34633308061663,90.42154157189792,90.24625726560525,90.16966894111698
Regularoty,Mandatory,1203,95.92614297589363,94.51356608478801,95.17891936824607,79.05316708229427,76.88972568578554,81.13101413133833,85.70152950955942,85.45425602660018,83.70768079800499,86.45083125519537,85.20521197007483,85.28565253532835,92.68546134663342,91.60515378221116,94.01593516209476,93.01801330008311,91.60240232751454,93.26568578553616
Regularoty,Special regulations,1344,90.10530505952383,88.98600446428571,91.44249255952381,65.99674107142857,65.10535714285714,72.76534226190475,76.34090773809523,76.33965773809524,79.53705357142857,76.78599702380951,75.89465773809523,79.4635119047619,84.4516517857143,85.11927827380953,87.27864583333336,84.89469494047619,84.30234375000002,88.39127976190477
