class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,99.19,99.19,99.19,99.19,98.37,99.19,96.75,98.37,97.56,95.93,98.37,123
1,90.91,90.91,90.91,88.64,88.64,84.09,88.64,86.36,88.64,90.91,86.36,44
2,83.33,81.48,79.63,77.78,77.78,75.93,81.48,85.19,77.78,81.48,77.78,54
3,90.48,90.48,85.71,76.19,80.95,71.43,76.19,66.67,76.19,76.19,57.14,21
4,55.56,66.67,55.56,77.78,66.67,55.56,55.56,66.67,77.78,66.67,55.56,9
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7
6,91.67,91.67,88.33,91.67,93.33,93.33,93.33,90.0,91.67,88.33,88.33,60
7,92.5,92.5,85.0,85.0,90.0,75.0,77.5,67.5,82.5,77.5,77.5,40
8,100.0,100.0,100.0,66.67,100.0,100.0,100.0,100.0,66.67,66.67,66.67,3
9,66.67,66.67,100.0,33.33,66.67,100.0,100.0,66.67,100.0,100.0,66.67,3
10,84.62,84.62,84.62,84.62,84.62,84.62,84.62,84.62,92.31,92.31,84.62,13
11,93.33,93.33,91.11,91.11,93.33,93.33,91.11,93.33,91.11,91.11,93.33,45
12,97.96,95.92,96.94,96.94,95.92,96.94,96.94,94.9,96.94,93.88,91.84,98
13,100.0,75.0,75.0,75.0,50.0,75.0,50.0,25.0,75.0,50.0,25.0,4
14,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
15,91.77,92.41,93.67,93.67,91.77,91.77,91.14,92.41,92.41,93.04,93.67,158
16,95.6,95.24,95.6,94.87,95.6,94.51,93.77,94.51,94.14,95.24,92.67,273
17,92.31,92.31,92.31,92.31,86.54,92.31,88.46,92.31,92.31,86.54,90.38,52
18,40.0,40.0,40.0,40.0,60.0,60.0,40.0,40.0,40.0,40.0,40.0,5
19,92.45,93.4,93.4,95.28,93.4,92.45,88.68,92.45,87.74,88.68,91.51,106
20,97.84,97.84,99.13,97.84,98.27,97.84,97.4,97.84,97.84,95.67,97.4,231
21,94.62,94.62,93.55,95.7,93.55,95.7,94.62,93.55,92.47,90.32,94.62,93
22,78.46,78.46,78.46,78.46,78.46,78.46,78.46,78.46,78.46,78.46,78.46,65
23,98.46,97.23,97.54,97.85,96.92,96.92,98.15,98.46,97.54,96.62,97.54,325
24,75.0,80.0,80.0,80.0,65.0,80.0,70.0,70.0,75.0,75.0,85.0,20
25,95.24,90.48,90.48,95.24,80.95,95.24,85.71,90.48,80.95,76.19,90.48,21
26,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,95.45,22
27,11.76,5.88,11.76,11.76,17.65,11.76,5.88,11.76,5.88,11.76,5.88,17
28,97.66,97.66,97.66,98.05,96.09,96.48,95.7,94.92,95.31,93.75,94.92,256
29,89.47,87.72,89.47,82.46,89.47,82.46,85.96,80.7,75.44,73.68,61.4,57
30,98.61,98.38,98.38,99.07,98.84,99.07,98.61,97.91,98.61,98.84,97.91,431
31,93.89,95.56,95.56,95.56,93.89,93.33,94.44,94.44,95.56,92.78,93.33,180
32,98.03,97.47,97.75,98.03,97.19,98.03,97.19,97.47,96.91,96.91,96.63,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,95.24,100.0,100.0,100.0,100.0,100.0,95.24,21
35,91.43,91.43,91.43,88.57,88.57,91.43,88.57,88.57,85.71,88.57,88.57,35
36,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.7,99.35,98.7,98.7,154
37,94.24,94.24,94.24,94.24,94.24,94.24,93.53,93.53,94.24,94.24,92.81,139
38,66.67,66.67,66.67,77.78,66.67,77.78,66.67,77.78,77.78,66.67,88.89,9
39,90.91,90.91,90.91,90.91,90.91,87.88,90.91,90.91,90.91,90.91,84.85,33
