class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,99.19,99.19,99.19,99.19,99.19,99.19,99.19,99.19,98.37,98.37,98.37,123
1,90.91,90.91,88.64,88.64,88.64,88.64,88.64,88.64,88.64,90.91,88.64,44
2,83.33,77.78,75.93,79.63,81.48,77.78,74.07,72.22,74.07,68.52,64.81,54
3,90.48,76.19,80.95,80.95,76.19,71.43,71.43,71.43,66.67,66.67,66.67,21
4,55.56,55.56,55.56,55.56,55.56,55.56,66.67,55.56,66.67,77.78,77.78,9
5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7
6,91.67,91.67,91.67,91.67,91.67,91.67,93.33,95.0,96.67,93.33,88.33,60
7,92.5,82.5,87.5,90.0,82.5,82.5,82.5,82.5,82.5,80.0,82.5,40
8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,100.0,3
10,84.62,84.62,84.62,84.62,84.62,84.62,84.62,100.0,100.0,100.0,100.0,13
11,93.33,93.33,93.33,93.33,93.33,93.33,91.11,91.11,91.11,91.11,93.33,45
12,97.96,97.96,98.98,97.96,95.92,95.92,94.9,94.9,92.86,93.88,89.8,98
13,100.0,100.0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,50.0,100.0,4
14,66.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,0.0,66.67,0.0,3
15,91.77,92.41,93.04,92.41,92.41,92.41,91.77,92.41,92.41,92.41,89.24,158
16,95.6,95.6,95.24,95.6,95.24,95.24,94.51,94.51,94.14,94.14,93.04,273
17,92.31,88.46,90.38,90.38,90.38,90.38,90.38,88.46,88.46,92.31,86.54,52
18,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,5
19,92.45,93.4,93.4,93.4,93.4,93.4,94.34,94.34,94.34,93.4,93.4,106
20,97.84,97.84,97.4,97.84,97.84,97.4,97.4,97.4,96.97,96.54,97.4,231
21,94.62,93.55,92.47,93.55,93.55,93.55,93.55,91.4,91.4,91.4,89.25,93
