class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,93.5,94.31,95.12,96.75,93.5,94.31,91.87,92.68,92.68,86.99,88.62,123
1,95.45,95.45,93.18,90.91,95.45,88.64,90.91,86.36,86.36,81.82,77.27,44
2,83.33,75.93,81.48,79.63,75.93,70.37,72.22,72.22,68.52,64.81,70.37,54
3,71.43,66.67,71.43,71.43,57.14,66.67,57.14,52.38,42.86,52.38,61.9,21
4,66.67,66.67,77.78,77.78,77.78,88.89,55.56,66.67,77.78,55.56,44.44,9
5,85.71,71.43,71.43,85.71,85.71,71.43,85.71,57.14,71.43,71.43,57.14,7
6,81.67,85.0,80.0,85.0,86.67,80.0,81.67,76.67,76.67,80.0,71.67,60
7,82.5,85.0,87.5,77.5,75.0,67.5,70.0,60.0,75.0,52.5,55.0,40
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,3
9,33.33,33.33,33.33,33.33,66.67,33.33,33.33,33.33,33.33,33.33,33.33,3
10,84.62,84.62,76.92,84.62,76.92,84.62,84.62,84.62,76.92,76.92,69.23,13
11,93.33,91.11,93.33,88.89,88.89,84.44,86.67,82.22,86.67,84.44,75.56,45
12,91.84,91.84,90.82,91.84,86.73,87.76,84.69,82.65,79.59,76.53,79.59,98
13,50.0,50.0,25.0,25.0,25.0,50.0,50.0,75.0,25.0,50.0,25.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,3
15,91.14,91.77,91.14,89.87,89.87,87.34,88.61,89.24,87.97,86.71,84.81,158
16,93.04,93.41,93.04,92.31,92.67,91.21,91.21,90.48,89.01,89.74,89.38,273
17,86.54,90.38,88.46,90.38,84.62,82.69,82.69,86.54,80.77,80.77,80.77,52
18,60.0,60.0,40.0,40.0,60.0,40.0,60.0,20.0,0.0,40.0,20.0,5
19,92.45,91.51,90.57,92.45,91.51,92.45,91.51,89.62,88.68,83.96,85.85,106
20,96.97,97.4,95.67,95.67,96.1,96.54,94.81,94.81,95.24,91.77,91.77,231
21,93.55,91.4,93.55,92.47,91.4,90.32,90.32,91.4,86.02,89.25,89.25,93
22,78.46,78.46,78.46,78.46,80.0,80.0,76.92,78.46,76.92,80.0,72.31,65
23,96.92,96.0,96.31,96.62,96.62,96.62,95.38,95.69,95.08,94.15,93.85,325
24,70.0,75.0,60.0,75.0,70.0,60.0,55.0,70.0,60.0,50.0,55.0,20
25,85.71,76.19,76.19,76.19,76.19,90.48,71.43,76.19,76.19,71.43,61.9,21
26,90.91,86.36,86.36,90.91,86.36,86.36,86.36,90.91,90.91,86.36,77.27,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,96.48,97.66,96.88,95.7,94.14,92.58,92.19,89.84,90.23,88.28,87.11,256
29,71.93,68.42,68.42,70.18,63.16,71.93,56.14,59.65,61.4,61.4,68.42,57
30,97.91,97.68,97.91,97.68,97.68,97.22,97.22,96.98,96.98,96.75,97.91,431
31,93.33,94.44,92.22,90.56,90.56,92.22,90.0,91.11,87.22,89.44,86.67,180
32,97.47,97.19,97.19,96.91,95.51,95.51,95.22,95.22,94.1,93.54,91.57,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,83.33,18
34,95.24,90.48,90.48,95.24,85.71,100.0,95.24,95.24,95.24,95.24,90.48,21
35,94.29,97.14,91.43,91.43,91.43,91.43,88.57,88.57,80.0,85.71,82.86,35
36,99.35,98.7,97.4,98.7,97.4,98.05,97.4,96.1,96.75,98.05,94.81,154
37,97.12,96.4,96.4,96.4,96.4,95.68,94.96,94.24,93.53,94.24,91.37,139
38,66.67,66.67,66.67,66.67,77.78,66.67,66.67,66.67,66.67,55.56,66.67,9
39,75.76,69.7,72.73,72.73,72.73,78.79,75.76,69.7,72.73,60.61,75.76,33
40,93.62,89.36,89.36,91.49,87.23,91.49,89.36,87.23,87.23,82.98,80.85,47
41,95.88,94.85,95.88,94.85,93.81,93.81,92.78,91.75,91.75,93.81,91.75,97
42,93.59,96.15,94.87,93.59,94.87,93.59,92.31,89.74,91.03,88.46,94.87,78
43,96.3,96.3,96.3,92.59,90.74,88.89,90.74,88.89,92.59,83.33,92.59,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,85.71,57.14,71.43,7
45,100.0,99.25,98.49,99.25,96.98,99.62,96.98,95.85,96.98,97.36,96.23,265
46,97.25,96.86,97.25,96.86,97.65,96.47,95.69,96.08,96.08,92.94,94.51,255
47,81.48,81.48,81.48,74.07,66.67,70.37,66.67,74.07,55.56,51.85,59.26,27
48,93.21,93.83,93.21,91.36,91.98,90.43,90.12,89.2,88.58,86.42,86.11,324
49,94.64,94.64,91.07,94.64,91.07,92.86,91.07,89.29,87.5,87.5,91.07,56
50,95.17,92.75,90.34,90.58,91.3,88.41,87.68,84.54,84.3,81.88,79.23,414
51,95.88,93.83,93.0,91.36,92.18,88.48,82.3,84.77,84.36,81.48,80.25,243
52,97.73,97.11,97.73,95.25,95.66,93.18,92.36,91.12,91.32,89.88,89.46,484
53,90.34,86.97,86.97,84.45,83.19,76.89,74.79,75.21,70.59,66.39,63.45,238
54,56.25,43.75,43.75,50.0,43.75,43.75,37.5,31.25,43.75,31.25,18.75,16
55,96.54,94.81,93.07,92.64,91.77,89.61,86.58,83.98,83.12,86.15,80.52,231
56,70.83,70.83,62.5,66.67,58.33,62.5,41.67,54.17,54.17,50.0,41.67,24
57,92.86,91.84,88.78,87.24,90.31,88.78,84.69,83.67,79.08,82.14,77.55,196
58,75.0,75.0,66.67,75.0,83.33,75.0,66.67,75.0,50.0,58.33,58.33,12
59,100.0,100.0,100.0,92.59,100.0,100.0,92.59,92.59,85.19,96.3,92.59,27
60,90.48,88.89,93.65,85.71,84.13,88.89,82.54,80.95,79.37,76.19,80.95,63
61,91.07,91.07,91.07,85.71,87.5,89.29,89.29,83.93,82.14,85.71,82.14,56
62,87.88,78.79,84.85,84.85,84.85,78.79,78.79,75.76,75.76,69.7,66.67,33
63,95.56,95.56,94.67,93.33,92.0,94.67,91.11,91.56,91.56,89.78,90.22,225
64,54.55,36.36,36.36,54.55,36.36,36.36,27.27,45.45,36.36,27.27,18.18,11
65,100.0,100.0,88.89,77.78,66.67,88.89,88.89,77.78,55.56,66.67,66.67,9
66,80.77,80.0,78.46,80.77,81.54,73.85,76.15,74.62,76.15,75.38,78.46,130
67,99.44,100.0,99.44,98.33,99.44,99.44,98.89,98.89,95.56,96.67,96.67,180
68,94.44,91.67,88.89,94.44,86.11,88.89,86.11,91.67,88.89,86.11,72.22,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,63.64,63.64,11
70,100.0,100.0,100.0,100.0,100.0,98.28,100.0,98.28,100.0,98.28,96.55,58
71,95.83,95.83,95.83,95.83,91.67,87.5,91.67,87.5,87.5,83.33,95.83,24
72,95.35,94.19,96.51,94.19,96.51,96.51,93.02,91.86,91.86,91.86,87.21,86
73,95.92,97.96,97.96,97.96,97.96,97.96,97.96,93.88,95.92,95.92,95.92,49
74,94.66,96.12,94.66,95.63,94.66,94.66,94.17,91.75,91.26,91.26,89.81,206
75,94.12,94.12,96.08,98.04,94.12,94.12,94.12,92.16,92.16,92.16,96.08,51
76,94.44,94.44,88.89,83.33,83.33,77.78,72.22,77.78,72.22,72.22,72.22,18
77,89.13,87.68,88.41,86.23,84.06,89.13,83.33,81.88,82.61,82.61,84.78,138
78,97.97,97.97,97.46,97.46,96.95,95.43,96.45,92.89,93.91,92.89,92.39,197
79,93.2,93.2,91.26,94.17,94.17,93.2,93.2,93.2,92.23,87.38,86.41,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,88.89,88.89,86.11,86.11,86.11,88.89,86.11,86.11,88.89,86.11,86.11,36
82,85.71,85.71,100.0,85.71,85.71,100.0,71.43,85.71,71.43,85.71,71.43,7
83,97.44,96.15,97.44,97.44,97.44,96.15,94.87,94.87,96.15,92.31,92.31,78
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,55.56,55.56,55.56,44.44,44.44,44.44,22.22,44.44,22.22,22.22,33.33,9
86,94.38,94.94,94.94,96.07,94.94,94.94,94.94,93.26,94.38,93.82,93.82,178
87,89.87,91.14,87.34,83.54,85.44,81.65,77.85,75.95,74.68,69.62,74.68,158
88,78.57,78.57,75.0,78.57,67.86,71.43,67.86,71.43,64.29,78.57,67.86,28
89,25.0,25.0,37.5,50.0,12.5,37.5,25.0,12.5,37.5,0.0,12.5,8
90,97.57,97.57,96.93,96.6,96.6,96.12,96.28,95.47,94.34,93.69,93.69,618
91,91.53,91.53,91.53,91.53,91.53,86.44,84.75,88.14,88.14,86.44,77.97,59
92,41.67,33.33,58.33,41.67,16.67,16.67,8.33,25.0,16.67,8.33,0.0,12
93,82.76,82.76,70.69,75.86,67.24,68.97,62.07,51.72,55.17,41.38,53.45,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
