class,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42,images
0,95.93,77.24,65.85,73.98,78.05,59.35,123
1,90.91,70.45,59.09,65.91,68.18,52.27,44
2,81.48,53.7,33.33,48.15,51.85,38.89,54
3,66.67,47.62,28.57,42.86,52.38,42.86,21
4,77.78,44.44,22.22,44.44,55.56,22.22,9
5,100.0,14.29,14.29,14.29,71.43,42.86,7
6,88.33,61.67,56.67,61.67,66.67,46.67,60
7,80.0,35.0,15.0,22.5,45.0,17.5,40
8,0.0,33.33,0.0,0.0,0.0,0.0,3
9,66.67,0.0,0.0,33.33,0.0,33.33,3
10,92.31,69.23,69.23,53.85,92.31,38.46,13
11,95.56,51.11,33.33,55.56,64.44,35.56,45
12,90.82,68.37,52.04,64.29,70.41,51.02,98
13,25.0,25.0,0.0,25.0,0.0,0.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,3
15,93.67,71.52,56.33,66.46,70.25,52.53,158
16,93.41,77.66,72.16,79.12,81.32,65.57,273
17,82.69,53.85,38.46,48.08,71.15,32.69,52
18,20.0,20.0,0.0,0.0,0.0,40.0,5
19,88.68,70.75,52.83,61.32,74.53,54.72,106
20,97.84,87.01,79.65,85.28,86.15,63.2,231
21,92.47,55.91,64.52,70.97,69.89,45.16,93
22,81.54,78.46,72.31,80.0,83.08,78.46,65
23,96.0,89.54,78.46,86.15,85.85,68.0,325
24,55.0,35.0,5.0,10.0,50.0,30.0,20
25,76.19,52.38,23.81,38.1,47.62,19.05,21
26,90.91,63.64,27.27,63.64,68.18,59.09,22
27,0.0,0.0,0.0,0.0,5.88,0.0,17
28,98.44,68.36,57.03,69.14,73.05,53.52,256
29,75.44,35.09,40.35,42.11,45.61,31.58,57
30,97.68,93.04,91.42,93.97,91.88,83.06,431
31,91.67,68.89,73.33,82.22,77.22,54.44,180
32,96.91,77.25,82.87,85.67,75.56,59.55,356
33,83.33,77.78,66.67,77.78,83.33,72.22,18
34,100.0,90.48,61.9,71.43,76.19,66.67,21
35,94.29,37.14,40.0,54.29,77.14,51.43,35
36,100.0,81.82,84.42,90.91,88.96,64.94,154
37,95.68,61.15,41.73,53.24,61.87,36.69,139
38,66.67,33.33,33.33,44.44,66.67,11.11,9
39,87.88,48.48,45.45,54.55,72.73,54.55,33
40,95.74,72.34,51.06,59.57,78.72,53.19,47
41,94.85,73.2,76.29,83.51,82.47,56.7,97
42,93.59,80.77,73.08,76.92,78.21,58.97,78
43,88.89,66.67,68.52,62.96,68.52,42.59,54
44,71.43,42.86,42.86,42.86,71.43,57.14,7
45,99.25,90.94,82.64,90.94,89.06,73.21,265
46,98.04,82.75,82.35,89.02,80.78,60.78,255
47,77.78,44.44,18.52,29.63,59.26,22.22,27
