category,images,Original_model_42,fognight_model_42,fogsnow_model_42,fograin_model_42,rainnight_model_42,snownight_model_42
Dangerous warning,2228,90.44070466786356,74.14666517055656,60.36774685816877,71.13894524236984,73.38531418312387,49.371539497307005
Regularoty,7545,93.28107753479124,75.65359178263749,69.63521935056328,77.8791411530815,77.32225977468521,52.444815109343935
