class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,97.56,97.56,97.56,96.75,94.31,91.87,96.75,94.31,94.31,90.24,86.99,123
1,93.18,95.45,93.18,88.64,93.18,84.09,86.36,86.36,79.55,77.27,77.27,44
2,87.04,88.89,88.89,88.89,87.04,87.04,85.19,81.48,85.19,83.33,79.63,54
3,71.43,66.67,71.43,71.43,66.67,42.86,57.14,52.38,52.38,52.38,42.86,21
4,77.78,66.67,66.67,66.67,66.67,66.67,55.56,33.33,33.33,33.33,44.44,9
5,100.0,100.0,100.0,100.0,100.0,85.71,85.71,85.71,85.71,85.71,71.43,7
6,91.67,91.67,90.0,93.33,80.0,83.33,80.0,76.67,66.67,75.0,70.0,60
7,70.0,70.0,65.0,47.5,57.5,35.0,30.0,37.5,32.5,25.0,25.0,40
8,66.67,66.67,33.33,66.67,66.67,33.33,33.33,33.33,0.0,66.67,0.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,3
10,92.31,92.31,84.62,92.31,84.62,92.31,76.92,84.62,84.62,84.62,84.62,13
11,88.89,84.44,86.67,84.44,77.78,80.0,84.44,77.78,64.44,77.78,66.67,45
12,95.92,93.88,90.82,89.8,85.71,81.63,85.71,85.71,77.55,77.55,69.39,98
13,50.0,75.0,25.0,25.0,25.0,50.0,25.0,25.0,25.0,25.0,25.0,4
14,33.33,33.33,66.67,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
15,98.1,98.1,96.84,97.47,96.84,96.2,94.94,94.3,93.04,91.14,84.81,158
16,94.14,94.51,93.04,93.41,89.74,88.64,90.48,86.81,85.71,84.98,83.88,273
17,88.46,86.54,84.62,90.38,84.62,80.77,80.77,84.62,78.85,78.85,80.77,52
18,60.0,60.0,80.0,80.0,60.0,60.0,40.0,40.0,60.0,40.0,40.0,5
19,92.45,90.57,89.62,88.68,84.91,82.08,74.53,73.58,66.98,57.55,63.21,106
20,97.84,96.97,96.54,93.94,93.94,93.94,90.91,93.07,90.48,92.64,85.28,231
21,95.7,94.62,95.7,92.47,91.4,89.25,87.1,84.95,79.57,80.65,82.8,93
22,78.46,80.0,80.0,80.0,80.0,80.0,73.85,76.92,76.92,73.85,70.77,65
23,98.46,97.54,96.62,96.92,96.0,95.38,93.85,93.23,94.15,92.31,92.92,325
24,75.0,80.0,75.0,70.0,75.0,70.0,75.0,70.0,65.0,55.0,75.0,20
25,100.0,95.24,95.24,95.24,80.95,95.24,76.19,76.19,76.19,66.67,80.95,21
26,90.91,90.91,86.36,90.91,95.45,81.82,81.82,86.36,86.36,81.82,86.36,22
27,0.0,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,5.88,17
28,97.66,96.48,95.7,92.19,89.84,90.23,87.5,83.2,83.2,79.3,76.17,256
