epoch,validation_loss,validation_accuracy
1,2.2708144187927246,0.39726805686950684
2,1.0989187955856323,0.7231075763702393
3,0.6676927208900452,0.8248434662818909
4,0.49058541655540466,0.8799089193344116
5,0.4049225449562073,0.8975526690483093
6,0.37655338644981384,0.9116391539573669
7,0.37364017963409424,0.9149118065834045
8,0.4012953042984009,0.926010251045227
9,0.42961782217025757,0.9213147163391113
10,0.43157145380973816,0.9342629313468933
11,0.4651496112346649,0.9258679747581482
12,0.5039297938346863,0.9315595030784607
13,0.49381259083747864,0.9368241429328918
14,0.629382312297821,0.9285714030265808
15,0.5939826369285583,0.9302788972854614
16,0.5941126942634583,0.9363972544670105
17,0.589651882648468,0.9362549781799316
18,0.6522438526153564,0.937393307685852
19,0.6520783305168152,0.9388161897659302
20,0.6787199974060059,0.9388161897659302
21,0.7027724981307983,0.9388161897659302
22,0.7241960763931274,0.9385315775871277
23,0.7500806450843811,0.9388161897659302
24,0.7734674215316772,0.9385315775871277
25,0.7875813245773315,0.9388161897659302
26,0.8028041124343872,0.938958466053009
