class,filters,error
74,night5,95.63
16,night5,94.14
20,night5,94.37
77,night5,82.61
93,night5,70.69
66,night5,76.15
78,night5,97.97
86,night5,92.7
23,night5,95.69
55,night5,94.81
52,night5,97.31
90,night5,97.57
32,night5,97.75
6,night5,88.33
50,night5,96.86
63,night5,93.78
97,night5,73.02
17,night5,65.38
15,night5,89.87
53,night5,91.18
88,night5,78.57
54,night5,56.25
36,night5,100.0
70,night5,100.0
19,night5,94.34
45,night5,99.25
57,night5,94.9
0,night5,93.5
61,night5,92.86
83,night5,94.87
49,night5,94.64
72,night5,91.86
48,night5,93.52
68,night5,88.89
46,night5,96.47
37,night5,95.68
81,night5,86.11
27,night5,0.0
30,night5,97.45
101,night5,40.0
67,night5,99.44
28,night5,95.31
18,night5,100.0
87,night5,77.85
14,night5,0.0
21,night5,89.25
73,night5,97.96
92,night5,66.67
39,night5,84.85
59,night5,100.0
51,night5,95.06
102,night5,96.0
40,night5,82.98
79,night5,92.23
47,night5,74.07
29,night5,68.42
91,night5,83.05
43,night5,100.0
56,night5,70.83
7,night5,50.0
60,night5,96.83
31,night5,96.67
94,night5,0.0
1,night5,86.36
42,night5,93.59
62,night5,81.82
75,night5,92.16
12,night5,86.73
22,night5,81.54
24,night5,65.0
35,night5,94.29
41,night5,93.81
26,night5,90.91
34,night5,100.0
2,night5,87.04
25,night5,71.43
99,night5,84.21
11,night5,88.89
100,night5,50.0
38,night5,88.89
64,night5,36.36
85,night5,11.11
3,night5,57.14
4,night5,55.56
71,night5,100.0
95,night5,0.0
69,night5,100.0
76,night5,72.22
96,night5,28.57
33,night5,83.33
10,night5,92.31
80,night5,100.0
58,night5,75.0
13,night5,50.0
98,night5,0.0
82,night5,85.71
84,night5,50.0
89,night5,50.0
44,night5,71.43
8,night5,33.33
5,night5,85.71
9,night5,66.67
65,night5,88.89
