class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,91.87,91.87,92.68,90.24,88.62,86.18,86.18,88.62,86.99,82.93,83.74,123
1,88.64,88.64,84.09,86.36,81.82,81.82,79.55,70.45,70.45,70.45,72.73,44
2,79.63,75.93,81.48,79.63,79.63,81.48,77.78,70.37,77.78,74.07,68.52,54
3,66.67,71.43,66.67,76.19,61.9,57.14,61.9,61.9,57.14,57.14,57.14,21
4,55.56,44.44,66.67,44.44,55.56,77.78,66.67,44.44,66.67,44.44,55.56,9
5,71.43,71.43,71.43,71.43,85.71,85.71,71.43,71.43,85.71,85.71,71.43,7
6,86.67,90.0,86.67,88.33,88.33,86.67,85.0,85.0,76.67,76.67,73.33,60
7,62.5,62.5,57.5,70.0,55.0,57.5,50.0,45.0,47.5,42.5,27.5,40
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,3
10,92.31,92.31,92.31,92.31,84.62,84.62,69.23,76.92,84.62,69.23,84.62,13
11,88.89,86.67,84.44,84.44,80.0,84.44,82.22,77.78,86.67,77.78,75.56,45
12,89.8,89.8,88.78,85.71,87.76,87.76,84.69,78.57,83.67,78.57,75.51,98
13,50.0,75.0,75.0,75.0,25.0,50.0,50.0,50.0,50.0,50.0,25.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,91.14,91.14,90.51,89.24,92.41,91.14,91.14,90.51,86.08,86.08,82.28,158
16,92.67,92.67,91.94,92.31,91.94,90.84,89.38,90.11,87.91,87.18,87.55,273
17,71.15,71.15,71.15,76.92,78.85,76.92,71.15,69.23,73.08,69.23,82.69,52
18,100.0,100.0,100.0,100.0,80.0,100.0,100.0,80.0,100.0,80.0,80.0,5
19,93.4,94.34,93.4,89.62,91.51,90.57,87.74,86.79,87.74,91.51,85.85,106
