epoch,validation_loss,validation_accuracy
1,1.4676399230957031,0.641718864440918
2,0.6381984353065491,0.8315310478210449
3,0.3931785821914673,0.899402379989624
4,0.311840295791626,0.9218838810920715
5,0.32433056831359863,0.9211724400520325
6,0.359055757522583,0.922168493270874
7,0.36393290758132935,0.9345475435256958
8,0.3932695686817169,0.9297097325325012
9,0.39720049500465393,0.9392430186271667
10,0.3736642301082611,0.9413773417472839
11,0.3873293101787567,0.9445076584815979
12,0.4672984480857849,0.9321286082267761
13,0.44545257091522217,0.9456459879875183
14,0.4902704656124115,0.9372509717941284
15,0.4520416557788849,0.9453614354133606
16,0.4869576096534729,0.9469265937805176
17,0.5087597966194153,0.9474957585334778
18,0.5232139229774475,0.9482071995735168
19,0.5365899801254272,0.9487763047218323
20,0.5487733483314514,0.9489186406135559
21,0.5596761703491211,0.9492031931877136
22,0.5702935457229614,0.9489186406135559
23,0.5814157724380493,0.9486340284347534
24,0.5897339582443237,0.9496300220489502
