epoch,validation_loss,validation_accuracy
1,1.6052772998809814,0.5879339575767517
2,0.6811370849609375,0.8254126310348511
3,0.41498616337776184,0.8941377401351929
4,0.35908088088035583,0.9117814302444458
5,0.34380263090133667,0.9240182042121887
6,0.3317745327949524,0.9298520088195801
7,0.34944066405296326,0.9344052076339722
8,0.40322795510292053,0.9305634498596191
9,0.3948945105075836,0.9365395307540894
10,0.4375525712966919,0.9346898198127747
11,0.4402123987674713,0.9419465065002441
12,0.46700519323349,0.9372509717941284
13,0.5470319986343384,0.9462151527404785
14,0.5559139847755432,0.9473534226417542
15,0.5805901885032654,0.9477803111076355
16,0.6003440022468567,0.9480648636817932
17,0.6175211071968079,0.9482071995735168
18,0.6293460130691528,0.9486340284347534
19,0.6433911323547363,0.9484917521476746
20,0.655860185623169,0.9482071995735168
21,0.6690241694450378,0.9483494758605957
22,0.6809177398681641,0.9480648636817932
23,0.6943199038505554,0.9480648636817932
24,0.707707405090332,0.9483494758605957
25,0.7193893194198608,0.9486340284347534
26,0.732335090637207,0.9487763047218323
