epoch,validation_loss,validation_accuracy
1,1.3198555707931519,0.6650540828704834
2,0.6401470899581909,0.8306772708892822
3,0.5238603949546814,0.8809049725532532
4,0.3838024437427521,0.9090780019760132
5,0.3585836589336395,0.9177575707435608
6,0.39402395486831665,0.9274331331253052
7,0.3703974187374115,0.9305634498596191
8,0.49042344093322754,0.9285714030265808
9,0.4509687125682831,0.9328400492668152
10,0.5208722352981567,0.9255833625793457
11,0.5504361391067505,0.9326977729797363
12,0.5487425327301025,0.9346898198127747
13,0.5525333881378174,0.9314171671867371
14,0.5223785042762756,0.9393852949142456
15,0.5426823496818542,0.9440808296203613
16,0.5649470090866089,0.9386738538742065
17,0.5619348883628845,0.9422310590744019
18,0.5910912752151489,0.9453614354133606
19,0.6142071485519409,0.9446499943733215
20,0.6376853585243225,0.9447922706604004
21,0.6568703055381775,0.9447922706604004
22,0.6719551682472229,0.944365382194519
23,0.6877936124801636,0.9440808296203613
24,0.70124751329422,0.94365394115448
25,0.7159774899482727,0.9437962174415588
