filter,ideal_42,noise_42
Original,94.61794638289163,92.57121252430164
fognight,40.83724956512841,63.307189194720145
fogsnow,32.927592346260106,64.43225519287833
fograin,43.6099580476824,72.18873938401718
rainnight,63.42062212217332,72.12793819707356
snownight,27.523712268494833,51.35596541491865
