class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
0,98.37,98.37,98.37,98.37,98.37,98.37,97.56,97.56,96.75,96.75,96.75,123
1,93.18,95.45,93.18,93.18,93.18,93.18,93.18,93.18,93.18,93.18,93.18,44
2,90.74,90.74,90.74,92.59,94.44,94.44,94.44,92.59,96.3,92.59,94.44,54
3,71.43,71.43,66.67,71.43,66.67,66.67,66.67,66.67,66.67,66.67,66.67,21
4,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,88.89,77.78,88.89,9
5,85.71,85.71,100.0,100.0,100.0,85.71,85.71,85.71,100.0,100.0,100.0,7
6,86.67,88.33,86.67,88.33,88.33,88.33,88.33,88.33,91.67,90.0,85.0,60
7,90.0,90.0,90.0,90.0,90.0,95.0,92.5,92.5,92.5,85.0,92.5,40
8,66.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,3
10,76.92,76.92,76.92,76.92,84.62,92.31,92.31,92.31,92.31,92.31,92.31,13
11,97.78,100.0,97.78,97.78,97.78,93.33,93.33,91.11,88.89,84.44,77.78,45
12,94.9,92.86,92.86,92.86,92.86,92.86,92.86,89.8,91.84,89.8,87.76,98
13,100.0,75.0,75.0,75.0,75.0,25.0,25.0,25.0,75.0,25.0,25.0,4
14,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
15,98.1,98.73,96.84,95.57,95.57,94.94,94.94,94.3,93.67,91.14,82.28,158
16,93.41,93.41,93.77,94.14,94.51,93.77,94.14,93.77,92.67,92.67,90.48,273
17,88.46,88.46,86.54,86.54,86.54,86.54,86.54,84.62,84.62,84.62,82.69,52
18,40.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,5
19,95.28,96.23,96.23,96.23,96.23,96.23,97.17,97.17,97.17,97.17,95.28,106
20,97.84,97.4,97.4,97.4,96.97,96.97,96.1,97.4,97.4,96.1,94.81,231
21,95.7,94.62,95.7,95.7,93.55,91.4,91.4,90.32,90.32,89.25,88.17,93
22,83.08,83.08,83.08,83.08,83.08,83.08,83.08,81.54,81.54,83.08,78.46,65
23,97.23,96.92,97.54,96.92,97.23,97.23,96.92,95.69,96.92,96.92,96.31,325
24,85.0,85.0,85.0,85.0,85.0,85.0,95.0,95.0,95.0,85.0,75.0,20
25,80.95,80.95,80.95,80.95,80.95,80.95,85.71,85.71,80.95,100.0,80.95,21
26,95.45,95.45,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,90.91,22
27,17.65,17.65,17.65,17.65,11.76,11.76,11.76,11.76,11.76,11.76,11.76,17
28,98.05,98.05,98.05,97.66,97.66,97.27,96.88,97.27,97.27,96.09,95.7,256
29,96.49,94.74,94.74,94.74,94.74,94.74,91.23,91.23,92.98,89.47,87.72,57
30,98.84,98.38,98.14,98.38,98.61,98.61,98.14,98.14,98.38,97.91,97.68,431
31,93.33,94.44,95.0,94.44,95.0,94.44,93.89,93.89,93.89,93.89,92.78,180
32,97.75,96.35,96.35,96.35,95.51,94.94,94.38,93.26,91.57,88.2,86.52,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,91.43,91.43,91.43,91.43,91.43,88.57,88.57,85.71,80.0,77.14,71.43,35
36,99.35,100.0,98.7,98.05,96.1,95.45,94.81,93.51,91.56,88.96,86.36,154
37,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.24,94.96,139
38,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,9
39,93.94,90.91,90.91,90.91,90.91,93.94,93.94,93.94,93.94,93.94,93.94,33
40,93.62,93.62,93.62,93.62,93.62,91.49,91.49,89.36,91.49,87.23,85.11,47
41,97.94,96.91,97.94,97.94,97.94,97.94,97.94,95.88,94.85,95.88,95.88,97
42,96.15,96.15,96.15,96.15,94.87,96.15,96.15,94.87,94.87,89.74,91.03,78
43,98.15,100.0,98.15,98.15,98.15,98.15,98.15,98.15,98.15,98.15,94.44,54
44,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,7
45,99.62,99.25,99.25,99.25,99.62,98.87,98.87,98.87,98.49,98.49,98.11,265
46,97.65,98.04,97.65,97.65,97.65,97.65,98.04,97.25,98.04,97.25,97.25,255
47,88.89,88.89,88.89,88.89,88.89,88.89,92.59,85.19,85.19,81.48,81.48,27
48,94.75,94.14,94.75,95.06,94.75,94.44,93.52,92.9,93.21,92.59,92.59,324
49,92.86,92.86,92.86,92.86,92.86,92.86,92.86,92.86,94.64,94.64,94.64,56
50,97.1,97.58,97.34,97.1,97.58,97.58,97.1,96.38,96.38,95.65,95.17,414
51,98.77,98.35,98.35,97.94,97.94,97.94,97.94,97.94,97.12,96.71,96.71,243
52,98.97,98.97,98.97,98.76,98.76,98.76,98.55,98.14,98.14,96.9,97.31,484
53,92.02,92.02,91.6,90.76,89.92,88.66,88.66,89.08,88.24,87.39,86.97,238
54,62.5,62.5,68.75,68.75,68.75,75.0,75.0,75.0,68.75,62.5,56.25,16
55,98.7,97.84,97.84,98.27,98.27,97.84,97.4,96.1,96.97,95.24,94.81,231
56,79.17,58.33,58.33,58.33,58.33,58.33,58.33,54.17,50.0,41.67,37.5,24
57,94.39,94.39,94.39,93.37,93.37,93.37,92.86,93.37,91.33,91.84,92.86,196
58,83.33,83.33,75.0,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,96.83,93.65,95.24,96.83,96.83,95.24,96.83,95.24,93.65,95.24,98.41,63
61,96.43,94.64,96.43,98.21,98.21,98.21,98.21,98.21,96.43,98.21,98.21,56
62,90.91,90.91,87.88,90.91,90.91,84.85,90.91,87.88,90.91,90.91,90.91,33
63,94.22,90.67,86.67,84.0,83.11,78.22,68.0,63.11,50.22,43.11,36.44,225
64,81.82,72.73,81.82,81.82,72.73,81.82,81.82,54.55,54.55,54.55,27.27,11
65,66.67,66.67,55.56,55.56,44.44,44.44,33.33,33.33,33.33,11.11,11.11,9
66,90.0,86.92,81.54,79.23,72.31,66.92,63.08,65.38,62.31,51.54,50.77,130
67,99.44,99.44,99.44,98.89,98.89,98.33,98.33,98.33,98.33,98.33,98.33,180
68,97.22,97.22,97.22,97.22,97.22,97.22,97.22,94.44,97.22,94.44,94.44,36
69,81.82,81.82,81.82,90.91,90.91,90.91,90.91,90.91,90.91,90.91,81.82,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58
71,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,91.67,91.67,87.5,24
72,98.84,97.67,97.67,97.67,97.67,97.67,96.51,95.35,95.35,94.19,93.02,86
73,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,49
74,96.6,95.63,94.66,95.15,95.15,93.69,94.17,90.78,88.35,82.52,77.67,206
75,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,92.16,51
76,94.44,94.44,94.44,94.44,83.33,83.33,77.78,77.78,77.78,77.78,77.78,18
77,90.58,89.13,86.96,89.86,89.86,84.78,81.16,78.26,74.64,73.91,71.74,138
78,98.98,98.98,98.98,98.98,98.98,98.48,98.48,97.97,97.97,96.95,96.45,197
79,96.12,96.12,96.12,94.17,94.17,94.17,94.17,93.2,91.26,91.26,87.38,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,88.89,88.89,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,36
82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,42.86,57.14,42.86,7
83,93.59,92.31,92.31,92.31,92.31,92.31,92.31,92.31,91.03,92.31,92.31,78
84,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4
85,33.33,22.22,22.22,22.22,22.22,22.22,33.33,22.22,22.22,22.22,22.22,9
86,93.82,82.02,80.9,79.78,77.53,75.84,72.47,67.98,65.73,57.87,57.3,178
87,84.18,71.52,69.62,67.72,65.19,58.23,52.53,46.2,46.2,43.67,39.87,158
88,82.14,85.71,82.14,78.57,82.14,82.14,78.57,78.57,78.57,75.0,71.43,28
89,75.0,75.0,75.0,75.0,75.0,75.0,62.5,62.5,50.0,75.0,50.0,8
90,98.38,96.93,97.09,97.25,97.09,96.76,96.12,94.66,93.85,91.26,87.86,618
91,94.92,93.22,91.53,91.53,91.53,91.53,91.53,91.53,91.53,91.53,91.53,59
92,0.0,0.0,0.0,8.33,8.33,8.33,8.33,0.0,0.0,0.0,0.0,12
93,77.59,68.97,63.79,63.79,44.83,36.21,32.76,32.76,32.76,41.38,46.55,58
94,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,7
97,87.3,84.13,77.78,79.37,77.78,76.19,76.19,77.78,77.78,77.78,74.6,63
98,100.0,100.0,100.0,100.0,100.0,66.67,66.67,66.67,66.67,66.67,66.67,3
99,94.74,89.47,89.47,89.47,89.47,89.47,89.47,89.47,89.47,84.21,78.95,19
100,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.33,33.33,33.33,16.67,6
101,100.0,100.0,100.0,100.0,100.0,80.0,60.0,60.0,60.0,0.0,0.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,92.0,92.0,84.0,25
