epoch,validation_loss,validation_accuracy
1,1.5934048891067505,0.6266363263130188
2,0.7004033923149109,0.8245589137077332
3,0.5522432923316956,0.8676721453666687
4,0.36812129616737366,0.9127774834632874
5,0.37002795934677124,0.9166192412376404
6,0.41375964879989624,0.9153386354446411
7,0.4006645083427429,0.9265794157981873
8,0.42568331956863403,0.9298520088195801
9,0.5053892731666565,0.9289982914924622
10,0.4509807229042053,0.9326977729797363
11,0.5173754096031189,0.9376778602600098
12,0.49627041816711426,0.9372509717941284
13,0.5928815007209778,0.9228799343109131
14,0.5454372763633728,0.9402390718460083
15,0.6490991115570068,0.9410927891731262
16,0.6212974786758423,0.9416618943214417
17,0.6578270196914673,0.9428002238273621
18,0.6766231656074524,0.9425156712532043
19,0.6900455355644226,0.9428002238273621
20,0.7039703130722046,0.9429425001144409
21,0.7190854549407959,0.9429425001144409
22,0.7320514917373657,0.9430847764015198
23,0.7440801858901978,0.9429425001144409
24,0.7551363110542297,0.9429425001144409
