epoch,validation_loss,validation_accuracy
1,1.9078621864318848,0.4813602864742279
2,0.8975680470466614,0.7747581005096436
3,0.5380685329437256,0.8571428656578064
4,0.36544257402420044,0.9058053493499756
5,0.33643248677253723,0.9188958406448364
6,0.4008532762527466,0.9238759279251099
7,0.3788684904575348,0.9318440556526184
8,0.38574734330177307,0.9302788972854614
9,0.39653319120407104,0.9342629313468933
10,0.3904966115951538,0.9385315775871277
11,0.44975900650024414,0.9321286082267761
12,0.4313484728336334,0.9437962174415588
13,0.5310227274894714,0.9346898198127747
14,0.4694632589817047,0.9472111463546753
15,0.5265808701515198,0.9476380348205566
16,0.5365573763847351,0.9487763047218323
17,0.5595295429229736,0.9501991868019104
18,0.5896198749542236,0.9501991868019104
19,0.6045705080032349,0.9493454694747925
20,0.6212773323059082,0.9487763047218323
21,0.6369040012359619,0.9483494758605957
22,0.6505568027496338,0.9482071995735168
23,0.6627885699272156,0.9484917521476746
24,0.6769008040428162,0.9480648636817932
25,0.6911928653717041,0.9479225873947144
