class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,96.75,95.93,96.75,96.75,96.75,91.06,87.8,72.36,43.09,5.69,0.0,123
1,88.64,81.82,79.55,79.55,61.36,68.18,63.64,45.45,25.0,2.27,0.0,44
2,79.63,74.07,79.63,70.37,72.22,57.41,48.15,50.0,24.07,3.7,0.0,54
3,61.9,57.14,57.14,57.14,57.14,52.38,42.86,33.33,14.29,0.0,0.0,21
4,66.67,33.33,22.22,22.22,33.33,11.11,0.0,0.0,0.0,0.0,0.0,9
5,85.71,85.71,85.71,85.71,71.43,71.43,42.86,28.57,0.0,0.0,0.0,7
6,85.0,83.33,85.0,85.0,78.33,76.67,66.67,60.0,31.67,5.0,0.0,60
7,70.0,55.0,60.0,37.5,40.0,25.0,10.0,0.0,0.0,0.0,0.0,40
8,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,66.67,33.33,66.67,33.33,33.33,0.0,33.33,0.0,0.0,3
10,84.62,84.62,84.62,84.62,61.54,61.54,46.15,38.46,0.0,0.0,0.0,13
11,93.33,86.67,82.22,75.56,71.11,57.78,42.22,31.11,2.22,0.0,0.0,45
12,90.82,79.59,76.53,71.43,75.51,60.2,53.06,35.71,20.41,3.06,0.0,98
13,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,91.77,89.24,88.61,88.61,81.65,75.32,68.35,56.33,26.58,10.76,1.27,158
16,93.41,92.67,91.21,92.31,87.55,88.28,81.68,70.33,51.28,28.21,0.0,273
17,80.77,59.62,67.31,53.85,55.77,65.38,50.0,38.46,25.0,1.92,0.0,52
18,40.0,60.0,40.0,20.0,40.0,20.0,20.0,20.0,0.0,0.0,0.0,5
19,94.34,86.79,83.02,87.74,82.08,68.87,64.15,45.28,28.3,0.94,0.0,106
20,95.67,93.94,95.24,93.94,90.48,87.45,84.85,71.0,44.59,11.26,0.0,231
21,94.62,91.4,89.25,90.32,83.87,82.8,72.04,55.91,35.48,8.6,0.0,93
22,83.08,80.0,80.0,81.54,83.08,81.54,78.46,70.77,44.62,4.62,0.0,65
23,96.62,94.77,95.08,93.23,89.85,88.92,80.31,65.85,44.0,9.23,0.0,325
24,70.0,50.0,45.0,45.0,45.0,25.0,25.0,10.0,0.0,0.0,0.0,20
25,85.71,76.19,80.95,71.43,61.9,66.67,28.57,38.1,4.76,0.0,0.0,21
26,95.45,95.45,95.45,90.91,86.36,86.36,72.73,54.55,22.73,4.55,0.0,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
