class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,100.0,96.75,95.12,91.87,78.05,64.23,45.53,18.7,3.25,0.0,0.0,123
1,95.45,86.36,79.55,65.91,54.55,45.45,40.91,15.91,2.27,0.0,0.0,44
2,94.44,85.19,75.93,74.07,61.11,55.56,31.48,24.07,5.56,5.56,0.0,54
3,76.19,57.14,52.38,42.86,38.1,28.57,9.52,0.0,0.0,0.0,0.0,21
4,77.78,77.78,55.56,33.33,22.22,22.22,22.22,11.11,0.0,0.0,0.0,9
5,100.0,85.71,85.71,85.71,85.71,71.43,14.29,14.29,0.0,0.0,0.0,7
6,93.33,86.67,78.33,73.33,56.67,43.33,16.67,13.33,6.67,0.0,0.0,60
7,95.0,37.5,20.0,7.5,7.5,2.5,0.0,0.0,0.0,0.0,0.0,40
8,66.67,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,3
9,33.33,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3
10,92.31,84.62,92.31,76.92,61.54,46.15,53.85,23.08,7.69,0.0,0.0,13
11,100.0,71.11,73.33,55.56,35.56,37.78,8.89,8.89,2.22,0.0,0.0,45
12,92.86,84.69,72.45,62.24,48.98,43.88,16.33,8.16,0.0,0.0,0.0,98
13,50.0,50.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,95.57,93.67,87.34,76.58,68.35,56.33,41.14,14.56,2.53,0.0,0.0,158
16,92.67,90.84,87.91,87.55,81.32,67.4,64.1,46.52,27.47,11.72,5.13,273
17,78.85,78.85,73.08,73.08,57.69,50.0,23.08,26.92,13.46,7.69,0.0,52
18,40.0,20.0,20.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,5
19,95.28,88.68,75.47,65.09,52.83,38.68,20.75,6.6,2.83,0.0,0.0,106
20,97.84,90.91,90.91,86.58,82.25,68.4,51.08,29.44,8.23,1.3,0.0,231
21,93.55,81.72,76.34,67.74,49.46,33.33,31.18,10.75,1.08,0.0,0.0,93
22,81.54,80.0,80.0,81.54,80.0,75.38,67.69,49.23,23.08,0.0,0.0,65
