class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,95.12,95.93,95.12,93.5,95.12,94.31,89.43,93.5,91.87,92.68,89.43,123
1,93.18,90.91,90.91,90.91,79.55,79.55,84.09,88.64,77.27,84.09,79.55,44
2,83.33,81.48,83.33,83.33,83.33,75.93,77.78,85.19,75.93,72.22,77.78,54
3,61.9,66.67,61.9,61.9,61.9,61.9,61.9,61.9,61.9,61.9,52.38,21
4,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,77.78,88.89,77.78,9
5,85.71,85.71,85.71,85.71,85.71,85.71,85.71,100.0,85.71,85.71,71.43,7
6,88.33,86.67,83.33,86.67,86.67,80.0,81.67,75.0,78.33,66.67,71.67,60
7,75.0,75.0,80.0,80.0,75.0,67.5,70.0,57.5,60.0,50.0,62.5,40
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,66.67,66.67,33.33,3
10,84.62,84.62,84.62,84.62,84.62,92.31,76.92,84.62,76.92,84.62,84.62,13
11,91.11,93.33,93.33,88.89,91.11,82.22,82.22,75.56,75.56,73.33,71.11,45
12,93.88,93.88,92.86,87.76,90.82,88.78,92.86,85.71,88.78,87.76,83.67,98
13,50.0,50.0,75.0,50.0,75.0,75.0,75.0,75.0,75.0,50.0,75.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3
15,85.44,84.18,87.97,84.18,84.18,83.54,84.18,84.81,82.28,82.91,82.28,158
16,93.41,93.04,90.84,91.94,89.38,91.58,87.55,87.91,90.11,85.71,87.18,273
17,75.0,78.85,76.92,76.92,82.69,78.85,78.85,78.85,76.92,69.23,67.31,52
18,60.0,60.0,60.0,60.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,5
19,92.45,92.45,92.45,92.45,94.34,91.51,91.51,87.74,90.57,86.79,86.79,106
20,94.81,96.54,95.24,95.67,95.24,96.1,95.67,93.51,92.64,93.07,93.07,231
21,91.4,90.32,92.47,90.32,95.7,90.32,87.1,87.1,87.1,81.72,89.25,93
22,81.54,81.54,81.54,81.54,80.0,81.54,80.0,81.54,80.0,78.46,78.46,65
23,96.0,96.0,95.69,95.08,95.38,96.0,93.85,94.77,94.77,93.23,94.15,325
24,75.0,70.0,75.0,60.0,60.0,65.0,65.0,55.0,65.0,45.0,55.0,20
25,80.95,80.95,76.19,71.43,80.95,61.9,52.38,61.9,61.9,71.43,61.9,21
26,95.45,95.45,90.91,90.91,86.36,90.91,86.36,90.91,90.91,90.91,95.45,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,96.88,97.27,94.92,96.09,94.53,94.14,95.7,92.19,93.75,88.28,92.58,256
29,84.21,87.72,78.95,85.96,80.7,78.95,71.93,71.93,63.16,70.18,63.16,57
30,97.68,97.91,97.91,98.61,98.14,97.68,98.14,97.22,97.45,97.68,97.22,431
31,93.33,91.67,91.67,92.22,92.22,92.78,91.67,90.0,92.78,90.56,89.44,180
32,97.19,96.35,97.19,95.22,95.79,94.66,94.66,95.51,92.13,94.1,92.7,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,77.78,83.33,83.33,18
34,100.0,95.24,100.0,100.0,100.0,95.24,100.0,95.24,100.0,100.0,95.24,21
35,82.86,88.57,88.57,82.86,85.71,85.71,82.86,82.86,80.0,85.71,80.0,35
