category,images,Original_model_42_noiselevelsnow,snow1_model_42_noiselevelsnow,snow2_model_42_noiselevelsnow,snow3_model_42_noiselevelsnow,snow4_model_42_noiselevelsnow,snow5_model_42_noiselevelsnow,snow6_model_42_noiselevelsnow,snow7_model_42_noiselevelsnow,snow8_model_42_noiselevelsnow,snow9_model_42_noiselevelsnow,snow10_model_42_noiselevelsnow
Dangerous warning,2228,90.34992818671455,89.67679084380612,89.58512118491922,88.42057001795331,88.37527378815082,87.65848743267503,85.457684021544,84.96332136445243,85.05521992818672,84.60461400359067,81.32781867145421
Regularoty,7545,93.86372432074222,93.4128084824387,92.7763180914513,92.55074884029159,92.04641219350563,90.88178263750828,89.88809807819747,89.22464943671304,88.350450629556,87.38218157720344,86.70605168986083
