category,images,Original_model_42_noiselevelfog,fog1_model_42_noiselevelfog,fog2_model_42_noiselevelfog,fog3_model_42_noiselevelfog,fog4_model_42_noiselevelfog,fog5_model_42_noiselevelfog,fog6_model_42_noiselevelfog,fog7_model_42_noiselevelfog,fog8_model_42_noiselevelfog,fog9_model_42_noiselevelfog,fog10_model_42_noiselevelfog
Dangerous warning,2228,91.29314183123878,89.22937163375224,87.25190754039497,85.72659784560143,83.39232944344703,77.82659784560144,71.40927737881509,60.548263016157975,39.181373429084374,13.420956014362659,1.0758123877917416
Regularoty,7545,93.93002120609675,92.32581179589131,90.74923923127899,89.50234327369118,86.93188866799206,82.87601722995362,76.487436713055,66.69304572564612,50.49697415506957,24.135176938369778,2.5181179589131877
