category,sub-category,images,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42
Dangerous warning,Dangerous warning,2228,91.29314183123878,89.22937163375224,87.25190754039497,85.72659784560143,83.39232944344703,77.82659784560144,71.40927737881509,60.548263016157975,39.181373429084374,13.420956014362659,1.0758123877917416
Regularoty,Priority ,1041,96.54173871277618,95.86790585975024,94.43104707012488,93.37138328530258,92.31734870317004,90.58749279538904,86.55216138328531,80.59596541786743,69.2630259365994,42.07695485110471,3.9390682036503364
Regularoty,Prohibitory,3957,93.80857215061914,91.93783421784178,90.44773313115996,88.70250189537528,86.32782410917363,81.37402072276977,73.48907252969423,63.20452110184483,45.26019206469548,19.155835228708614,1.288375031589588
Regularoty,Mandatory,1203,95.67872817955113,93.68181213632586,92.10274314214465,91.68853699085622,87.94576059850375,84.2049293433084,77.1411803823774,63.67374896093102,43.05935993349957,13.134256026600163,1.7448877805486283
Regularoty,Special regulations,1344,90.69942708333333,89.51081101190476,87.5736681547619,86.90361607142857,83.63154017857143,80.13574404761906,76.93438244047618,68.89793154761904,58.03710565476189,34.745275297619045,5.730230654761905
