class,filters,error
81,fog7,83.33
22,fog7,80.0
23,fog7,96.0
16,fog7,94.14
61,fog7,85.71
86,fog7,91.01
53,fog7,87.39
6,fog7,88.33
57,fog7,92.86
90,fog7,97.25
30,fog7,95.82
52,fog7,95.87
36,fog7,98.7
31,fog7,90.56
12,fog7,80.61
77,fog7,82.61
42,fog7,94.87
75,fog7,94.12
17,fog7,82.69
97,fog7,77.78
87,fog7,84.81
46,fog7,94.9
74,fog7,96.6
38,fog7,55.56
19,fog7,86.79
63,fog7,95.56
55,fog7,87.01
32,fog7,95.79
66,fog7,90.77
43,fog7,88.89
48,fog7,91.67
0,fog7,96.75
45,fog7,97.36
91,fog7,84.75
21,fog7,92.47
69,fog7,72.73
47,fog7,66.67
72,fog7,96.51
99,fog7,84.21
41,fog7,92.78
20,fog7,96.54
67,fog7,99.44
2,fog7,81.48
1,fog7,90.91
60,fog7,82.54
79,fog7,92.23
51,fog7,86.42
15,fog7,89.87
78,fog7,96.45
92,fog7,16.67
28,fog7,95.7
29,fog7,71.93
50,fog7,91.06
11,fog7,88.89
56,fog7,54.17
100,fog7,100.0
7,fog7,62.5
58,fog7,91.67
102,fog7,84.0
70,fog7,96.55
26,fog7,95.45
37,fog7,99.28
24,fog7,60.0
88,fog7,75.0
71,fog7,95.83
35,fog7,91.43
83,fog7,97.44
73,fog7,93.88
54,fog7,50.0
27,fog7,11.76
93,fog7,67.24
76,fog7,77.78
68,fog7,88.89
85,fog7,0.0
84,fog7,0.0
49,fog7,89.29
39,fog7,81.82
10,fog7,84.62
5,fog7,85.71
40,fog7,89.36
80,fog7,100.0
3,fog7,66.67
34,fog7,100.0
25,fog7,71.43
89,fog7,37.5
82,fog7,71.43
95,fog7,0.0
59,fog7,100.0
18,fog7,60.0
64,fog7,72.73
4,fog7,66.67
65,fog7,22.22
62,fog7,84.85
33,fog7,72.22
98,fog7,33.33
44,fog7,71.43
8,fog7,0.0
96,fog7,28.57
101,fog7,100.0
9,fog7,33.33
13,fog7,50.0
14,fog7,33.33
94,fog7,33.33
