class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,94.31,91.87,91.06,88.62,85.37,83.74,69.11,60.16,30.08,7.32,0.0,123
1,93.18,93.18,88.64,93.18,93.18,79.55,72.73,68.18,40.91,15.91,0.0,44
2,79.63,75.93,72.22,74.07,70.37,61.11,55.56,37.04,11.11,1.85,0.0,54
3,71.43,71.43,71.43,66.67,52.38,47.62,57.14,47.62,14.29,4.76,0.0,21
4,88.89,77.78,66.67,77.78,66.67,33.33,33.33,11.11,11.11,0.0,0.0,9
5,71.43,85.71,85.71,71.43,71.43,57.14,57.14,14.29,0.0,0.0,0.0,7
6,85.0,83.33,83.33,81.67,83.33,71.67,66.67,56.67,50.0,10.0,0.0,60
7,82.5,77.5,70.0,67.5,67.5,45.0,35.0,27.5,12.5,0.0,0.0,40
8,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3
9,66.67,66.67,66.67,66.67,100.0,33.33,100.0,33.33,33.33,33.33,0.0,3
10,92.31,84.62,84.62,69.23,61.54,53.85,23.08,15.38,7.69,0.0,0.0,13
11,97.78,93.33,88.89,93.33,80.0,75.56,68.89,51.11,28.89,4.44,2.22,45
12,89.8,85.71,81.63,75.51,74.49,68.37,57.14,50.0,30.61,11.22,0.0,98
13,75.0,75.0,25.0,50.0,0.0,50.0,25.0,0.0,0.0,0.0,0.0,4
14,0.0,33.33,33.33,0.0,0.0,33.33,33.33,0.0,33.33,0.0,0.0,3
15,89.87,89.87,89.24,83.54,84.81,82.28,74.05,58.23,35.44,8.86,2.53,158
16,94.87,93.41,90.11,91.58,89.74,86.81,82.78,71.06,45.05,11.72,1.83,273
17,86.54,82.69,80.77,86.54,84.62,75.0,71.15,65.38,32.69,3.85,0.0,52
18,100.0,100.0,100.0,100.0,80.0,80.0,60.0,80.0,20.0,0.0,0.0,5
19,92.45,90.57,85.85,80.19,77.36,69.81,63.21,36.79,15.09,3.77,0.0,106
20,97.4,94.81,96.1,93.07,90.04,87.88,86.15,72.73,49.35,17.75,2.16,231
21,95.7,88.17,84.95,82.8,78.49,63.44,52.69,41.94,26.88,11.83,0.0,93
