filter,ideal_42,noise_42
Original,94.63953545482453,92.60219277601558
fognight,41.95207203519901,64.79033561854088
fogsnow,36.68210682492582,65.96720045021998
fograin,46.66974112350354,74.17274838841708
rainnight,65.38425355571471,73.48760053207818
snownight,29.765596029878232,50.680671237081754
