class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,91.87,93.5,92.68,90.24,91.06,92.68,87.8,89.43,89.43,90.24,88.62,123
1,88.64,88.64,84.09,86.36,88.64,84.09,86.36,79.55,81.82,79.55,86.36,44
2,79.63,81.48,77.78,75.93,79.63,77.78,83.33,83.33,79.63,79.63,81.48,54
3,66.67,61.9,52.38,66.67,61.9,61.9,66.67,61.9,61.9,66.67,71.43,21
4,55.56,55.56,44.44,55.56,44.44,44.44,55.56,33.33,44.44,55.56,55.56,9
5,71.43,85.71,85.71,71.43,85.71,71.43,71.43,57.14,57.14,71.43,85.71,7
6,86.67,86.67,88.33,86.67,85.0,88.33,86.67,86.67,85.0,85.0,83.33,60
7,62.5,60.0,67.5,62.5,60.0,57.5,60.0,52.5,60.0,52.5,55.0,40
8,0.0,33.33,0.0,33.33,0.0,0.0,33.33,33.33,0.0,0.0,0.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,3
10,92.31,92.31,92.31,92.31,92.31,84.62,76.92,84.62,92.31,84.62,76.92,13
11,88.89,86.67,86.67,86.67,88.89,86.67,84.44,88.89,86.67,88.89,86.67,45
12,89.8,89.8,87.76,88.78,88.78,88.78,87.76,91.84,85.71,88.78,84.69,98
13,50.0,50.0,50.0,25.0,75.0,25.0,50.0,75.0,25.0,50.0,50.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,91.14,91.14,91.77,91.14,90.51,91.14,92.41,90.51,89.87,91.77,91.77,158
16,92.67,93.04,92.67,91.94,93.04,90.11,92.31,91.58,91.21,91.94,91.58,273
17,71.15,63.46,71.15,73.08,73.08,76.92,75.0,75.0,75.0,69.23,71.15,52
18,100.0,100.0,100.0,100.0,100.0,100.0,80.0,80.0,100.0,100.0,80.0,5
19,93.4,94.34,94.34,94.34,93.4,93.4,93.4,93.4,90.57,94.34,92.45,106
20,95.67,95.24,96.1,95.67,95.67,95.24,96.1,94.81,96.1,95.24,96.54,231
21,91.4,92.47,92.47,92.47,90.32,90.32,91.4,91.4,90.32,89.25,90.32,93
22,83.08,81.54,84.62,81.54,83.08,83.08,81.54,84.62,84.62,81.54,83.08,65
23,95.08,95.08,95.69,95.38,95.38,95.08,95.38,94.77,94.77,94.46,94.77,325
24,75.0,70.0,70.0,60.0,70.0,75.0,65.0,75.0,65.0,70.0,70.0,20
25,76.19,76.19,76.19,71.43,66.67,71.43,76.19,61.9,76.19,66.67,61.9,21
26,95.45,95.45,95.45,95.45,95.45,90.91,90.91,95.45,95.45,90.91,95.45,22
27,0.0,0.0,5.88,0.0,0.0,5.88,5.88,0.0,11.76,11.76,5.88,17
28,96.09,95.7,96.88,95.7,96.48,95.7,95.7,95.7,96.09,96.88,94.14,256
29,77.19,80.7,77.19,80.7,77.19,73.68,80.7,82.46,75.44,70.18,73.68,57
30,98.14,98.38,97.68,97.45,97.91,97.68,97.68,97.45,97.45,96.98,97.91,431
31,92.78,95.0,94.44,92.78,91.11,93.33,92.78,95.56,92.22,93.89,93.33,180
32,97.75,97.19,97.47,97.75,97.19,97.19,96.91,95.22,96.91,96.35,96.91,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21
35,94.29,91.43,94.29,88.57,94.29,94.29,91.43,94.29,91.43,94.29,85.71,35
36,97.4,97.4,98.05,98.05,98.05,97.4,98.7,98.05,97.4,98.7,98.7,154
37,95.68,95.68,95.68,95.68,95.68,94.96,95.68,94.96,94.24,95.68,95.68,139
38,77.78,77.78,77.78,77.78,88.89,88.89,77.78,88.89,77.78,77.78,77.78,9
39,81.82,84.85,84.85,78.79,72.73,81.82,84.85,78.79,81.82,75.76,81.82,33
40,82.98,80.85,85.11,85.11,82.98,82.98,85.11,82.98,85.11,78.72,85.11,47
41,94.85,94.85,94.85,94.85,92.78,94.85,94.85,94.85,93.81,94.85,93.81,97
42,92.31,93.59,93.59,94.87,91.03,93.59,92.31,94.87,96.15,94.87,92.31,78
43,98.15,98.15,98.15,98.15,98.15,100.0,100.0,96.3,98.15,94.44,96.3,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,7
45,99.62,99.62,99.62,99.62,99.62,99.62,99.25,99.25,99.25,99.25,98.49,265
46,96.86,97.25,97.25,96.86,97.65,96.47,96.47,96.47,96.47,95.69,96.08,255
47,77.78,77.78,77.78,77.78,70.37,70.37,81.48,74.07,74.07,66.67,74.07,27
48,92.59,91.36,91.98,92.59,92.59,91.98,92.9,92.28,91.98,92.28,91.05,324
49,94.64,92.86,92.86,94.64,92.86,94.64,94.64,96.43,96.43,94.64,94.64,56
50,94.69,93.96,93.96,92.75,91.3,91.3,92.75,91.3,90.58,91.06,91.06,414
51,96.3,93.83,93.83,94.24,91.77,92.18,93.42,95.06,92.18,93.83,93.42,243
52,98.35,97.31,98.14,97.73,98.76,97.73,97.31,96.49,96.28,95.87,95.45,484
53,91.18,89.92,88.24,85.71,89.92,85.71,86.55,84.87,86.13,82.35,84.45,238
54,50.0,50.0,50.0,50.0,43.75,50.0,50.0,50.0,50.0,43.75,43.75,16
55,96.97,95.67,94.37,93.07,93.07,93.51,94.81,91.34,94.37,91.77,93.51,231
56,70.83,70.83,66.67,70.83,62.5,62.5,62.5,62.5,70.83,62.5,62.5,24
57,94.39,94.39,94.9,92.35,93.37,93.37,91.33,90.82,91.33,90.31,90.31,196
58,83.33,83.33,66.67,75.0,75.0,75.0,75.0,66.67,66.67,75.0,66.67,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,96.83,100.0,98.41,95.24,98.41,96.83,96.83,96.83,92.06,96.83,93.65,63
61,91.07,91.07,89.29,91.07,91.07,91.07,91.07,87.5,89.29,89.29,91.07,56
62,84.85,81.82,78.79,81.82,81.82,72.73,78.79,78.79,78.79,78.79,69.7,33
63,96.44,96.0,96.44,96.0,96.44,96.0,96.44,96.44,96.44,95.11,94.67,225
64,54.55,72.73,72.73,81.82,72.73,63.64,72.73,72.73,81.82,63.64,72.73,11
65,77.78,66.67,77.78,77.78,55.56,44.44,44.44,55.56,66.67,44.44,44.44,9
66,85.38,84.62,85.38,85.38,84.62,83.85,83.85,84.62,81.54,81.54,83.85,130
67,100.0,100.0,100.0,100.0,100.0,99.44,99.44,99.44,99.44,99.44,99.44,180
68,88.89,88.89,91.67,94.44,91.67,88.89,91.67,94.44,94.44,86.11,88.89,36
69,90.91,100.0,100.0,100.0,100.0,90.91,90.91,90.91,100.0,100.0,90.91,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58
71,95.83,100.0,100.0,95.83,95.83,95.83,95.83,100.0,95.83,95.83,95.83,24
72,95.35,97.67,96.51,95.35,94.19,96.51,97.67,95.35,96.51,97.67,96.51,86
73,95.92,93.88,93.88,93.88,95.92,93.88,93.88,93.88,93.88,93.88,93.88,49
74,97.09,97.09,96.12,96.12,96.12,95.63,96.12,97.09,97.09,95.63,97.09,206
75,92.16,94.12,94.12,92.16,92.16,94.12,92.16,90.2,92.16,90.2,90.2,51
76,83.33,83.33,88.89,83.33,83.33,83.33,88.89,83.33,83.33,77.78,83.33,18
77,84.78,84.06,85.51,84.78,82.61,83.33,81.16,84.06,83.33,84.06,84.06,138
78,96.95,97.46,96.95,97.46,96.95,96.45,96.45,96.95,96.45,96.95,95.94,197
79,91.26,92.23,93.2,89.32,93.2,92.23,93.2,92.23,92.23,89.32,88.35,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,86.11,86.11,86.11,86.11,86.11,86.11,86.11,86.11,86.11,88.89,86.11,36
82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,7
83,97.44,97.44,97.44,97.44,97.44,97.44,96.15,96.15,97.44,97.44,98.72,78
84,25.0,25.0,50.0,50.0,50.0,50.0,50.0,25.0,25.0,50.0,50.0,4
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
86,95.51,94.38,96.63,95.51,94.38,96.07,94.38,94.38,96.63,94.38,93.82,178
87,90.51,89.87,89.87,87.97,87.34,88.61,89.24,86.71,87.97,86.08,88.61,158
88,75.0,75.0,71.43,75.0,78.57,75.0,67.86,71.43,75.0,71.43,67.86,28
89,50.0,37.5,12.5,50.0,12.5,25.0,37.5,12.5,12.5,37.5,25.0,8
90,97.09,97.25,97.57,97.25,96.93,96.93,97.09,97.25,97.25,96.93,96.93,618
91,89.83,86.44,89.83,89.83,86.44,91.53,89.83,88.14,84.75,88.14,91.53,59
92,66.67,66.67,66.67,75.0,66.67,75.0,83.33,50.0,66.67,66.67,66.67,12
93,77.59,75.86,72.41,74.14,79.31,70.69,72.41,81.03,70.69,74.14,70.69,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,28.57,7
97,77.78,77.78,77.78,77.78,80.95,71.43,79.37,79.37,74.6,74.6,76.19,63
98,66.67,33.33,0.0,33.33,33.33,33.33,66.67,33.33,0.0,33.33,66.67,3
99,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,19
100,66.67,50.0,66.67,83.33,66.67,66.67,50.0,50.0,66.67,50.0,83.33,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,25
