class,Original_model_42,night1_model_42,night2_model_42,night3_model_42,night4_model_42,night5_model_42,night6_model_42,night7_model_42,night8_model_42,night9_model_42,night10_model_42,images
56,91.67,83.33,79.17,75.0,75.0,75.0,66.67,62.5,66.67,58.33,45.83,24
57,96.94,96.43,95.92,96.43,96.43,95.92,96.43,96.43,95.92,95.41,94.9,196
58,91.67,83.33,75.0,83.33,75.0,75.0,75.0,58.33,66.67,75.0,75.0,12
59,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,27
60,93.65,90.48,95.24,96.83,95.24,95.24,95.24,96.83,88.89,92.06,95.24,63
61,98.21,94.64,96.43,98.21,98.21,98.21,96.43,98.21,98.21,96.43,98.21,56
62,90.91,87.88,87.88,90.91,90.91,90.91,93.94,90.91,90.91,90.91,90.91,33
63,92.89,92.0,87.11,84.0,79.56,77.78,69.33,59.56,46.22,35.56,28.89,225
64,63.64,63.64,45.45,45.45,36.36,36.36,36.36,36.36,36.36,9.09,9.09,11
65,44.44,55.56,33.33,33.33,33.33,22.22,22.22,11.11,11.11,0.0,11.11,9
66,86.92,86.92,80.77,80.0,76.92,69.23,68.46,64.62,56.92,54.62,53.08,130
67,99.44,98.89,98.89,98.89,98.89,98.89,98.89,98.89,98.89,98.89,98.33,180
68,97.22,97.22,97.22,97.22,97.22,97.22,97.22,94.44,97.22,97.22,97.22,36
69,90.91,90.91,90.91,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.83,95.83,100.0,24
72,97.67,97.67,97.67,97.67,97.67,96.51,96.51,96.51,95.35,95.35,94.19,86
73,95.92,95.92,95.92,95.92,95.92,93.88,93.88,91.84,89.8,91.84,91.84,49
74,96.6,95.63,95.63,95.63,95.15,94.17,93.69,93.2,91.75,91.26,87.38,206
75,88.24,88.24,88.24,88.24,88.24,88.24,86.27,88.24,88.24,88.24,86.27,51
76,83.33,88.89,88.89,88.89,83.33,83.33,77.78,83.33,77.78,83.33,83.33,18
77,89.13,88.41,83.33,84.06,83.33,81.88,79.71,82.61,77.54,77.54,79.71,138
78,97.46,97.97,97.97,98.48,98.48,98.48,98.98,98.48,97.46,97.46,97.46,197
79,90.29,91.26,91.26,93.2,92.23,92.23,92.23,92.23,92.23,92.23,92.23,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,86.11,88.89,86.11,86.11,86.11,83.33,83.33,83.33,83.33,83.33,80.56,36
82,100.0,100.0,100.0,100.0,100.0,100.0,85.71,85.71,42.86,28.57,14.29,7
83,96.15,93.59,96.15,93.59,94.87,94.87,94.87,96.15,91.03,92.31,92.31,78
84,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4
85,44.44,11.11,33.33,0.0,22.22,22.22,11.11,22.22,11.11,22.22,0.0,9
86,94.38,91.01,90.45,91.01,90.45,89.89,87.64,84.83,84.27,79.78,78.09,178
87,83.54,72.78,71.52,73.42,69.62,63.92,61.39,56.33,53.16,48.73,44.94,158
88,78.57,78.57,75.0,78.57,75.0,71.43,71.43,71.43,71.43,71.43,67.86,28
89,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,8
90,98.22,98.22,97.9,97.9,97.57,97.57,97.57,97.73,97.25,97.09,96.12,618
91,91.53,89.83,89.83,89.83,89.83,86.44,83.05,88.14,84.75,81.36,86.44,59
92,0.0,0.0,8.33,8.33,8.33,8.33,16.67,16.67,8.33,16.67,16.67,12
93,91.38,91.38,89.66,86.21,84.48,81.03,82.76,82.76,77.59,81.03,79.31,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,14.29,7
97,85.71,84.13,84.13,84.13,84.13,84.13,80.95,80.95,82.54,80.95,77.78,63
98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
99,78.95,84.21,84.21,84.21,84.21,84.21,84.21,84.21,84.21,89.47,84.21,19
100,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.33,6
101,100.0,100.0,100.0,100.0,100.0,80.0,80.0,80.0,60.0,0.0,20.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,25
