filter,ideal_52,ideal_49,ideal_42,noise_52,noise_49,noise_42
Original,94.55573007264913,94.45495651284149,94.6999007469559,92.64246597769363,92.81697534022305,92.77641051877622
fognight,39.90605136600839,38.71867082779085,42.68949452573416,74.32691394658752,76.21930215900954,77.37732119103654
fogsnow,40.048939936559904,41.58299191650466,44.50059449503735,72.14815921416148,76.17934206487261,76.08619666427913
fograin,45.69678706640746,44.85803540366315,49.002739179371744,77.397085848767,79.21781745625702,79.63786657116549
rainnight,89.44062928476414,89.42978000613937,89.31730891230941,90.00326614141,89.9934595313619,90.5658354650568
snownight,78.37950271155225,79.38221426378801,77.95924281182852,81.23406835158087,83.39326000204645,83.00457177939222
