filter,baseline_52,baseline_49,baseline_42,homo_52,homo_49,homo_42,noise_52,noise_49,noise_42,norm_52,norm_49,norm_42
Original,93.22728537808247,88.55061700603704,90.45261229919166,92.19235751560424,91.21034892049522,92.39828711756883,88.29442341143967,85.57298373068659,88.59105085439477,94.74086871994271,94.87278113168936,94.14682697227056
fog,37.829412667553456,40.222725877417375,44.56115215389338,41.307632252123206,42.60681878645247,41.19431290289574,71.47243016473959,71.45239844469457,73.98016064667962,51.325129438248226,54.722480302875276,54.128508134656705
night,81.65321907295609,77.14148060984346,81.26504144070398,81.0392059756472,80.93647293563902,85.9304962652205,79.59615573518877,77.67269415737235,82.29868822265426,92.73467819502712,92.11184999488384,90.4737777550394
rain,85.44953852450628,79.4432681878645,80.6921712882431,89.37984139977489,87.8653095262458,89.90162386165967,80.78410007162591,81.4481827483884,82.28792387189195,88.25347999590707,88.89812749411645,87.71046045226643
snow,69.6106077969917,56.16477130870767,59.33733244653639,81.98078174562572,81.31586923155633,83.83256727719225,59.265276782973494,58.86664176813671,63.56360175995089,67.41073877008084,71.26796684743682,69.68197175892766
day,93.1251898086565,88.6731300521846,90.38186636652,91.34288959377878,90.28981991200244,91.62075616494423,88.03880282410725,85.7570019441318,88.36617415327946,94.78149595825232,94.88331014018215,94.14719124117468
