filter,ideal_42,idealnoise_42
Original,94.61794638289163,92.95012585695284
fog,42.68831167502303,79.19775606262152
night,89.54238411951295,90.25931239128211
rain,93.20539036119919,92.386939527269
snow,84.97817046966132,88.34511715952111
day,94.29054538012892,92.73583444182952
