category,images,Original_model_42_noiselevelrain,rain1_model_42_noiselevelrain,rain2_model_42_noiselevelrain,rain3_model_42_noiselevelrain,rain4_model_42_noiselevelrain,rain5_model_42_noiselevelrain,rain6_model_42_noiselevelrain,rain7_model_42_noiselevelrain,rain8_model_42_noiselevelrain,rain9_model_42_noiselevelrain,rain10_model_42_noiselevelrain
Dangerous warning,2228,90.57375673249551,90.08060592459603,90.62054757630159,90.35077199281868,90.12514362657092,89.63186265709156,89.22795332136445,89.09309694793536,89.54112208258528,88.9586669658887,87.9693895870736
Regularoty,7545,94.16806759443341,93.86342080848245,93.87787541418159,93.57099271040423,93.30678992710403,93.2282054340623,92.92278992710405,92.90944068919815,92.68395493704438,92.29944333996025,92.08660039761432
