class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
0,93.5,94.31,94.31,93.5,94.31,94.31,94.31,94.31,95.12,94.31,91.87,123
1,95.45,95.45,95.45,93.18,95.45,93.18,95.45,95.45,95.45,90.91,88.64,44
2,83.33,79.63,79.63,75.93,72.22,77.78,77.78,72.22,77.78,75.93,77.78,54
3,71.43,61.9,66.67,71.43,66.67,66.67,57.14,61.9,66.67,71.43,61.9,21
4,66.67,66.67,88.89,44.44,55.56,66.67,55.56,66.67,66.67,66.67,33.33,9
5,85.71,85.71,71.43,85.71,85.71,71.43,57.14,71.43,71.43,71.43,71.43,7
6,81.67,83.33,88.33,85.0,86.67,81.67,85.0,88.33,83.33,83.33,81.67,60
7,82.5,80.0,80.0,77.5,80.0,72.5,67.5,72.5,72.5,70.0,62.5,40
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3
9,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,66.67,33.33,33.33,3
10,84.62,76.92,92.31,84.62,76.92,76.92,76.92,76.92,76.92,84.62,84.62,13
11,93.33,91.11,95.56,93.33,95.56,91.11,95.56,86.67,86.67,93.33,88.89,45
12,91.84,89.8,91.84,93.88,91.84,89.8,87.76,87.76,88.78,90.82,84.69,98
13,50.0,50.0,50.0,50.0,50.0,50.0,75.0,25.0,50.0,25.0,25.0,4
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,91.14,90.51,91.77,91.77,91.77,91.14,89.87,91.14,89.24,89.87,89.87,158
16,93.04,93.41,93.41,93.41,93.04,91.94,93.04,92.31,92.67,91.94,92.67,273
17,86.54,82.69,84.62,88.46,82.69,82.69,82.69,90.38,86.54,86.54,88.46,52
18,60.0,60.0,60.0,60.0,60.0,20.0,20.0,60.0,40.0,40.0,40.0,5
19,92.45,91.51,92.45,92.45,91.51,92.45,90.57,91.51,91.51,91.51,91.51,106
20,96.97,96.97,96.97,96.97,97.4,96.97,96.97,96.1,96.97,95.67,94.37,231
21,93.55,94.62,91.4,91.4,92.47,92.47,92.47,92.47,93.55,92.47,91.4,93
22,78.46,78.46,78.46,78.46,78.46,78.46,78.46,78.46,78.46,78.46,78.46,65
23,96.92,97.23,96.31,96.62,96.31,96.62,96.31,96.31,95.69,96.62,95.38,325
24,70.0,75.0,65.0,80.0,70.0,80.0,70.0,70.0,70.0,65.0,60.0,20
25,85.71,85.71,80.95,76.19,85.71,80.95,76.19,80.95,85.71,80.95,85.71,21
26,90.91,86.36,86.36,90.91,90.91,86.36,90.91,86.36,90.91,90.91,86.36,22
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
28,96.48,96.09,97.27,96.48,96.09,96.48,95.31,94.92,95.7,94.92,94.92,256
29,71.93,68.42,73.68,71.93,71.93,73.68,73.68,64.91,71.93,61.4,68.42,57
30,97.91,97.68,97.45,97.68,97.22,97.22,97.91,97.45,97.91,97.45,97.91,431
31,93.33,92.78,92.22,92.22,93.33,91.67,91.11,92.78,92.22,92.78,92.22,180
32,97.47,97.75,97.19,97.75,97.19,96.91,96.63,97.75,96.91,97.47,96.63,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,95.24,95.24,95.24,90.48,100.0,95.24,95.24,100.0,95.24,95.24,95.24,21
35,94.29,94.29,88.57,94.29,85.71,94.29,94.29,88.57,88.57,88.57,88.57,35
36,99.35,99.35,99.35,98.7,99.35,99.35,98.7,98.05,98.05,98.7,98.7,154
37,97.12,96.4,96.4,97.12,96.4,97.12,97.12,97.12,96.4,97.84,97.84,139
38,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,9
39,75.76,75.76,72.73,72.73,75.76,69.7,69.7,69.7,69.7,69.7,75.76,33
40,93.62,89.36,91.49,93.62,93.62,93.62,91.49,89.36,91.49,91.49,91.49,47
41,95.88,94.85,94.85,93.81,94.85,94.85,94.85,94.85,94.85,94.85,94.85,97
42,93.59,94.87,94.87,93.59,94.87,96.15,94.87,94.87,97.44,93.59,92.31,78
43,96.3,98.15,98.15,98.15,96.3,94.44,96.3,96.3,92.59,94.44,92.59,54
44,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,71.43,7
45,100.0,100.0,99.25,99.62,99.25,99.25,99.25,99.62,99.25,100.0,99.62,265
46,97.25,96.86,96.86,97.25,96.86,97.25,97.25,97.25,97.25,96.86,98.04,255
47,81.48,81.48,88.89,81.48,77.78,70.37,81.48,74.07,81.48,81.48,70.37,27
48,93.21,93.52,93.83,92.9,92.9,93.83,92.59,91.98,93.21,91.98,92.28,324
49,94.64,92.86,96.43,92.86,92.86,92.86,94.64,92.86,94.64,92.86,92.86,56
50,95.17,94.44,94.69,92.75,92.75,94.93,93.0,90.1,91.06,91.06,88.89,414
51,95.88,95.47,95.47,94.65,93.83,93.0,93.83,93.0,91.77,92.59,91.36,243
52,97.73,97.73,97.31,96.69,96.9,96.9,96.49,95.87,97.52,95.25,96.28,484
53,90.34,87.82,89.08,87.39,86.55,84.03,85.29,86.55,84.03,82.77,82.35,238
54,56.25,50.0,50.0,43.75,50.0,43.75,50.0,43.75,50.0,50.0,37.5,16
55,96.54,95.67,95.24,95.67,94.37,93.94,94.37,94.37,93.51,92.21,92.64,231
56,70.83,66.67,70.83,75.0,62.5,62.5,62.5,66.67,66.67,58.33,70.83,24
57,92.86,92.35,91.33,93.37,91.84,93.37,89.8,89.8,87.76,86.73,87.24,196
58,75.0,75.0,75.0,75.0,75.0,83.33,75.0,83.33,66.67,83.33,75.0,12
59,100.0,100.0,100.0,100.0,100.0,100.0,96.3,100.0,100.0,100.0,100.0,27
60,90.48,92.06,90.48,87.3,88.89,92.06,82.54,88.89,85.71,84.13,82.54,63
61,91.07,89.29,91.07,91.07,89.29,89.29,91.07,87.5,89.29,85.71,83.93,56
62,87.88,87.88,87.88,87.88,87.88,87.88,87.88,90.91,81.82,78.79,84.85,33
63,95.56,95.11,94.67,96.0,95.56,93.33,94.67,96.0,95.11,95.11,94.67,225
64,54.55,54.55,54.55,45.45,45.45,45.45,54.55,54.55,36.36,45.45,36.36,11
65,100.0,100.0,100.0,100.0,100.0,88.89,66.67,100.0,100.0,77.78,88.89,9
66,80.77,82.31,81.54,81.54,80.77,83.85,79.23,80.0,77.69,80.77,77.69,130
67,99.44,100.0,100.0,100.0,99.44,100.0,100.0,98.89,100.0,99.44,100.0,180
68,94.44,91.67,94.44,91.67,94.44,94.44,88.89,91.67,94.44,91.67,86.11,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,58
71,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,95.83,91.67,24
72,95.35,95.35,96.51,95.35,95.35,95.35,94.19,95.35,95.35,96.51,93.02,86
73,95.92,97.96,97.96,97.96,97.96,97.96,97.96,97.96,97.96,97.96,97.96,49
74,94.66,95.15,95.63,95.15,95.15,95.63,96.12,94.66,96.6,94.66,95.63,206
75,94.12,94.12,94.12,96.08,94.12,94.12,96.08,94.12,94.12,94.12,98.04,51
76,94.44,88.89,88.89,94.44,94.44,94.44,88.89,94.44,88.89,88.89,88.89,18
77,89.13,89.86,88.41,88.41,86.96,89.86,87.68,88.41,89.13,83.33,86.96,138
78,97.97,97.97,97.97,97.97,97.46,96.45,97.46,97.97,97.97,97.46,97.46,197
79,93.2,92.23,94.17,94.17,93.2,92.23,92.23,92.23,94.17,93.2,93.2,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,88.89,86.11,91.67,88.89,88.89,86.11,88.89,88.89,91.67,88.89,86.11,36
82,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,85.71,7
83,97.44,97.44,97.44,97.44,96.15,96.15,97.44,97.44,97.44,97.44,94.87,78
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
85,55.56,55.56,55.56,55.56,55.56,55.56,55.56,44.44,33.33,44.44,44.44,9
86,94.38,93.82,95.51,96.07,96.07,95.51,94.94,95.51,93.82,94.38,94.38,178
87,89.87,91.14,91.14,87.97,87.34,82.91,85.44,86.71,82.91,85.44,79.75,158
88,78.57,78.57,78.57,78.57,82.14,75.0,67.86,67.86,71.43,85.71,78.57,28
89,25.0,25.0,12.5,12.5,25.0,50.0,12.5,25.0,12.5,25.0,25.0,8
90,97.57,96.76,96.93,97.25,97.41,96.93,97.25,97.57,96.93,96.93,97.73,618
91,91.53,91.53,91.53,89.83,91.53,91.53,89.83,91.53,91.53,91.53,89.83,59
92,41.67,41.67,41.67,33.33,50.0,25.0,33.33,41.67,41.67,25.0,41.67,12
93,82.76,81.03,77.59,75.86,75.86,74.14,74.14,74.14,75.86,72.41,74.14,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,14.29,14.29,14.29,14.29,0.0,14.29,28.57,0.0,14.29,28.57,28.57,7
97,82.54,85.71,84.13,80.95,82.54,84.13,85.71,79.37,79.37,80.95,77.78,63
98,33.33,33.33,33.33,33.33,0.0,33.33,33.33,33.33,33.33,0.0,33.33,3
99,78.95,78.95,78.95,78.95,78.95,84.21,78.95,84.21,78.95,78.95,78.95,19
100,50.0,16.67,33.33,33.33,16.67,33.33,16.67,50.0,16.67,33.33,16.67,6
101,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5
102,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,88.0,96.0,25
