class,Original_model_42,fog1_model_42,fog2_model_42,fog3_model_42,fog4_model_42,fog5_model_42,fog6_model_42,fog7_model_42,fog8_model_42,fog9_model_42,fog10_model_42,images
0,99.19,91.06,91.06,82.11,72.36,56.91,39.84,18.7,4.88,0.0,0.0,123
1,93.18,88.64,79.55,65.91,54.55,47.73,27.27,25.0,6.82,0.0,0.0,44
2,87.04,77.78,79.63,70.37,64.81,51.85,31.48,16.67,1.85,1.85,0.0,54
3,76.19,42.86,52.38,28.57,42.86,19.05,0.0,4.76,4.76,0.0,0.0,21
4,88.89,88.89,66.67,66.67,44.44,44.44,44.44,0.0,0.0,0.0,0.0,9
5,85.71,85.71,85.71,85.71,71.43,42.86,0.0,14.29,0.0,0.0,0.0,7
6,90.0,83.33,73.33,65.0,58.33,45.0,28.33,21.67,11.67,0.0,3.33,60
7,85.0,42.5,27.5,22.5,17.5,10.0,2.5,2.5,0.0,0.0,0.0,40
8,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
9,66.67,66.67,33.33,33.33,33.33,66.67,33.33,0.0,0.0,0.0,0.0,3
10,92.31,69.23,69.23,61.54,46.15,38.46,7.69,7.69,0.0,0.0,0.0,13
11,84.44,66.67,46.67,48.89,31.11,20.0,6.67,6.67,0.0,0.0,0.0,45
12,94.9,85.71,78.57,72.45,51.02,42.86,36.73,20.41,5.1,1.02,0.0,98
13,75.0,50.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
14,33.33,33.33,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
15,97.47,86.71,84.81,73.42,60.76,51.9,32.28,13.29,4.43,0.63,0.0,158
16,93.04,91.21,90.48,86.08,80.95,72.16,65.2,47.25,28.21,14.29,5.13,273
17,86.54,73.08,69.23,53.85,44.23,34.62,26.92,15.38,3.85,3.85,0.0,52
18,20.0,40.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,5
19,91.51,76.42,62.26,50.0,32.08,24.53,16.98,13.21,1.89,0.0,0.0,106
20,97.4,90.91,88.74,86.58,78.35,68.83,53.25,32.47,15.15,0.0,0.0,231
