category,images,Original_model_42_ideallevelsnow,snow1_model_42_ideallevelsnow,snow2_model_42_ideallevelsnow,snow3_model_42_ideallevelsnow,snow4_model_42_ideallevelsnow,snow5_model_42_ideallevelsnow,snow6_model_42_ideallevelsnow,snow7_model_42_ideallevelsnow,snow8_model_42_ideallevelsnow,snow9_model_42_ideallevelsnow,snow10_model_42_ideallevelsnow
Dangerous warning,2228,92.95417863554758,92.4602827648115,91.15755834829446,88.82408438061042,88.87050718132855,86.48934021543987,83.93201974865349,82.63099192100537,80.96929533213644,79.98185816876122,77.11017055655296
Regularoty,7545,94.72474353876741,93.62559708416168,92.77710271703116,91.17327899271038,89.71532140490392,87.1713041749503,85.6597097415507,83.3929768058317,81.5635467196819,79.45591517561299,76.69930947647447
