class,Original_model_42,snow1_model_42,snow2_model_42,snow3_model_42,snow4_model_42,snow5_model_42,snow6_model_42,snow7_model_42,snow8_model_42,snow9_model_42,snow10_model_42,images
0,95.93,95.12,95.12,92.68,93.5,95.12,91.06,90.24,91.87,89.43,83.74,123
1,95.45,93.18,97.73,97.73,88.64,90.91,79.55,81.82,81.82,81.82,77.27,44
2,92.59,94.44,87.04,85.19,81.48,85.19,83.33,88.89,79.63,74.07,79.63,54
3,47.62,42.86,47.62,42.86,47.62,38.1,33.33,38.1,47.62,38.1,42.86,21
4,77.78,77.78,77.78,88.89,77.78,77.78,66.67,77.78,77.78,66.67,55.56,9
5,100.0,85.71,85.71,57.14,85.71,100.0,85.71,85.71,42.86,85.71,71.43,7
6,88.33,90.0,88.33,91.67,91.67,81.67,83.33,70.0,80.0,78.33,76.67,60
7,80.0,75.0,75.0,70.0,52.5,47.5,50.0,45.0,50.0,47.5,40.0,40
8,33.33,33.33,33.33,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,3
9,66.67,66.67,66.67,66.67,66.67,66.67,66.67,33.33,33.33,66.67,66.67,3
10,92.31,92.31,92.31,84.62,92.31,92.31,76.92,92.31,76.92,84.62,76.92,13
11,86.67,93.33,93.33,84.44,91.11,86.67,80.0,88.89,71.11,75.56,75.56,45
12,94.9,93.88,91.84,88.78,88.78,84.69,81.63,72.45,75.51,73.47,72.45,98
13,50.0,50.0,75.0,50.0,75.0,25.0,50.0,25.0,25.0,75.0,50.0,4
14,33.33,0.0,0.0,33.33,33.33,33.33,0.0,33.33,33.33,33.33,33.33,3
15,93.67,91.14,89.24,90.51,90.51,85.44,87.97,84.81,79.75,79.75,79.75,158
16,94.51,94.14,92.31,90.84,90.11,86.08,85.71,86.45,83.15,84.25,80.22,273
17,88.46,90.38,86.54,86.54,86.54,86.54,88.46,76.92,90.38,86.54,84.62,52
18,80.0,80.0,80.0,60.0,60.0,40.0,40.0,20.0,20.0,60.0,40.0,5
19,95.28,95.28,89.62,89.62,83.96,78.3,69.81,73.58,69.81,67.92,58.49,106
20,97.84,98.27,98.27,95.67,96.97,95.24,93.51,92.21,91.77,88.74,87.45,231
21,92.47,91.4,88.17,89.25,87.1,89.25,79.57,86.02,75.27,75.27,72.04,93
22,84.62,83.08,84.62,83.08,83.08,84.62,83.08,80.0,83.08,80.0,81.54,65
23,97.54,97.54,96.92,95.38,97.54,95.38,95.08,92.31,91.08,90.46,90.77,325
24,75.0,75.0,80.0,75.0,75.0,80.0,60.0,50.0,50.0,60.0,45.0,20
25,100.0,100.0,90.48,76.19,66.67,80.95,71.43,80.95,61.9,76.19,61.9,21
26,95.45,90.91,90.91,95.45,90.91,86.36,81.82,81.82,90.91,81.82,77.27,22
27,11.76,11.76,17.65,17.65,17.65,17.65,23.53,23.53,11.76,23.53,5.88,17
28,98.05,97.27,96.09,91.02,92.58,88.67,86.33,85.55,83.2,79.3,75.78,256
29,89.47,89.47,84.21,71.93,78.95,80.7,70.18,64.91,70.18,64.91,57.89,57
30,97.68,97.45,97.22,95.13,96.52,94.9,95.59,95.13,93.74,93.04,90.95,431
31,97.22,93.89,96.67,93.33,93.33,92.78,92.78,91.67,89.44,86.11,86.67,180
32,96.63,95.79,94.66,92.98,90.45,90.17,87.36,85.39,83.43,84.27,80.34,356
33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,83.33,18
34,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.24,95.24,100.0,100.0,21
