class,Original_model_52,Original_model_49,Original_model_42,fog_model_52,fog_model_49,fog_model_42,night_model_52,night_model_49,night_model_42,rain_model_52,rain_model_49,rain_model_42,snow_model_52,snow_model_49,snow_model_42,day_model_52,day_model_49,day_model_42,images
0,92.68,99.19,95.12,35.77,56.91,69.11,91.06,99.19,96.75,90.24,97.56,90.24,73.98,76.42,78.05,92.68,98.37,95.93,123
1,93.18,90.91,95.45,50.0,31.82,59.09,93.18,88.64,93.18,72.73,65.91,72.73,54.55,54.55,54.55,93.18,90.91,95.45,44
2,85.19,98.15,96.3,48.15,61.11,64.81,70.37,96.3,94.44,83.33,94.44,94.44,77.78,90.74,83.33,87.04,98.15,96.3,54
3,52.38,52.38,66.67,4.76,9.52,42.86,52.38,42.86,66.67,42.86,42.86,61.9,28.57,19.05,42.86,52.38,52.38,66.67,21
4,55.56,22.22,66.67,0.0,22.22,22.22,77.78,11.11,66.67,66.67,33.33,55.56,66.67,22.22,66.67,55.56,22.22,66.67,9
5,42.86,71.43,100.0,0.0,14.29,28.57,14.29,42.86,71.43,28.57,42.86,71.43,57.14,42.86,57.14,42.86,71.43,100.0,7
6,86.67,88.33,90.0,55.0,40.0,56.67,91.67,88.33,95.0,81.67,86.67,85.0,70.0,63.33,68.33,85.0,88.33,90.0,60
7,32.5,52.5,65.0,2.5,0.0,2.5,15.0,35.0,57.5,22.5,40.0,47.5,10.0,25.0,22.5,35.0,52.5,65.0,40
8,0.0,66.67,66.67,0.0,0.0,0.0,0.0,66.67,66.67,0.0,0.0,66.67,0.0,33.33,0.0,0.0,33.33,66.67,3
9,66.67,66.67,100.0,0.0,0.0,0.0,33.33,66.67,66.67,33.33,66.67,66.67,33.33,66.67,66.67,66.67,66.67,100.0,3
10,84.62,76.92,69.23,30.77,38.46,38.46,84.62,69.23,84.62,84.62,76.92,76.92,53.85,53.85,69.23,84.62,69.23,69.23,13
11,95.56,91.11,88.89,35.56,42.22,31.11,91.11,82.22,75.56,91.11,84.44,86.67,66.67,80.0,53.33,95.56,91.11,88.89,45
