category,images,Original_model_52_baseline,Original_model_49_baseline,Original_model_42_baseline,fog_model_52_baseline,fog_model_49_baseline,fog_model_42_baseline,night_model_52_baseline,night_model_49_baseline,night_model_42_baseline,rain_model_52_baseline,rain_model_49_baseline,rain_model_42_baseline,snow_model_52_baseline,snow_model_49_baseline,snow_model_42_baseline,day_model_52_baseline,day_model_49_baseline,day_model_42_baseline
Dangerous warning,2228,86.7144883303411,88.28476211849193,89.81176391382405,42.23491023339319,44.47842010771993,51.70583034111311,81.86826750448833,85.41347396768401,87.43300718132855,79.93709156193896,80.97040394973072,82.8979039497307,66.4716382405745,66.02341113105923,65.88847845601437,86.58141831238778,88.15113105924594,89.8562342908438
Regularoty,7545,88.97155069582504,90.00679787939032,89.90101524188205,39.54975082836315,37.52219748177601,40.927802518223984,72.73710934393637,77.5346255798542,76.1027660702452,79.44294764744865,81.98681510934392,79.77425182239894,62.49164612326044,65.28847183565276,62.173651424784616,88.99872895957587,89.91364744864148,89.91411133200796
