filter,ideal_42,noise_42
Original,94.4019983628364,92.54062007571882
fognight,39.40495241993247,75.66797401002762
fogsnow,32.037749923257955,68.12634298577716
fograin,42.59750332548859,76.66983014427505
rainnight,61.495156042156964,76.23117261843856
snownight,23.892541696510797,50.62898086565028
