class,Original_model_42,rain1_model_42,rain2_model_42,rain3_model_42,rain4_model_42,rain5_model_42,rain6_model_42,rain7_model_42,rain8_model_42,rain9_model_42,rain10_model_42,images
64,63.64,63.64,63.64,63.64,72.73,54.55,72.73,81.82,54.55,72.73,63.64,11
65,77.78,77.78,77.78,66.67,66.67,66.67,55.56,77.78,55.56,66.67,77.78,9
66,86.15,87.69,83.85,86.15,84.62,80.0,82.31,83.08,84.62,83.85,78.46,130
67,99.44,99.44,100.0,99.44,100.0,100.0,98.89,100.0,99.44,99.44,100.0,180
68,91.67,94.44,94.44,88.89,94.44,97.22,94.44,86.11,83.33,86.11,91.67,36
69,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,72.73,11
70,100.0,100.0,98.28,100.0,100.0,98.28,100.0,98.28,100.0,96.55,98.28,58
71,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,24
72,96.51,96.51,96.51,96.51,96.51,97.67,97.67,97.67,95.35,95.35,96.51,86
73,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,49
74,94.17,94.17,94.66,94.66,95.15,94.66,94.66,96.12,95.15,95.63,95.63,206
75,98.04,98.04,98.04,98.04,96.08,96.08,98.04,96.08,98.04,98.04,98.04,51
76,77.78,83.33,72.22,83.33,83.33,77.78,77.78,72.22,83.33,77.78,83.33,18
77,90.58,89.13,89.13,86.96,89.13,89.13,86.23,86.96,88.41,85.51,86.96,138
78,97.97,97.97,97.46,97.97,97.97,97.46,97.46,97.46,97.46,96.95,97.97,197
79,96.12,97.09,97.09,97.09,96.12,96.12,96.12,96.12,98.06,97.09,96.12,103
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,3
81,91.67,91.67,91.67,91.67,91.67,91.67,91.67,94.44,91.67,88.89,91.67,36
82,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,85.71,100.0,7
83,97.44,97.44,97.44,98.72,97.44,98.72,97.44,97.44,93.59,94.87,98.72,78
84,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,4
85,11.11,0.0,22.22,0.0,0.0,0.0,11.11,0.0,11.11,22.22,0.0,9
86,94.38,94.38,94.38,94.94,94.94,94.94,95.51,94.94,94.38,94.94,93.82,178
87,94.3,94.94,95.57,92.41,94.3,92.41,93.04,93.04,91.14,94.3,92.41,158
88,75.0,75.0,75.0,75.0,67.86,71.43,71.43,64.29,67.86,75.0,75.0,28
89,37.5,12.5,25.0,50.0,25.0,0.0,12.5,12.5,25.0,25.0,25.0,8
90,97.41,97.57,97.09,97.25,97.25,97.25,96.93,97.09,96.76,96.93,96.44,618
91,91.53,91.53,91.53,89.83,93.22,89.83,93.22,89.83,91.53,89.83,86.44,59
92,58.33,50.0,41.67,58.33,25.0,58.33,16.67,25.0,41.67,16.67,33.33,12
93,56.9,53.45,56.9,44.83,51.72,44.83,53.45,39.66,43.1,43.1,41.38,58
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
96,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,42.86,7
97,88.89,85.71,88.89,90.48,85.71,87.3,84.13,85.71,84.13,82.54,82.54,63
98,100.0,100.0,66.67,100.0,66.67,100.0,100.0,33.33,100.0,66.67,66.67,3
99,89.47,89.47,89.47,89.47,89.47,89.47,89.47,84.21,89.47,84.21,84.21,19
100,100.0,100.0,100.0,100.0,83.33,100.0,100.0,100.0,83.33,100.0,100.0,6
101,100.0,80.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,5
102,96.0,96.0,96.0,92.0,96.0,96.0,96.0,96.0,92.0,92.0,92.0,25
