Class,model82_1,model82_2,model82_3,model82_4,model82_5,model82_6,model82_7,model82_8,model82_9,model82_10
82,70.23,85.5,96.18,93.13,94.66,97.71,96.18,93.89,96.18,98.47
83,98.41,100.0,100.0,100.0,98.41,96.83,98.41,100.0,98.41,98.41
84,96.21,95.26,97.16,99.53,97.63,99.05,98.58,98.58,99.53,98.58
85,88.98,96.85,95.28,96.06,95.28,95.28,97.64,97.64,96.85,96.85
86,84.05,94.0,89.12,94.56,95.5,98.87,95.87,96.62,97.94,98.12
87,86.27,93.14,93.14,97.06,98.04,98.04,98.04,100.0,98.04,97.06
88,0.0,43.75,50.0,68.75,62.5,87.5,81.25,68.75,87.5,81.25
89,71.35,87.03,80.54,87.03,90.27,93.51,89.19,94.05,94.05,97.3
90,69.05,80.95,83.33,88.1,86.51,92.86,94.44,93.65,92.86,92.86
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,78.87,63.38,85.92,87.32,87.32,92.96,92.96,91.55,94.37,91.55
93,0.0,0.0,25.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0
94,57.14,82.14,92.86,85.71,85.71,100.0,82.14,92.86,92.86,92.86
95,0.0,0.0,0.0,0.0,0.0,66.67,66.67,100.0,33.33,66.67
96,0.0,0.0,16.67,66.67,50.0,66.67,100.0,50.0,83.33,100.0
97,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,100.0
98,0.0,0.0,33.33,66.67,100.0,100.0,66.67,100.0,66.67,100.0
99,56.34,83.1,87.32,88.73,87.32,87.32,90.14,94.37,94.37,76.06
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,57.14,42.86,57.14,57.14,42.86,42.86,57.14
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,6.31,30.63,56.76,48.65,64.86,59.46,51.35,66.67,82.88,74.77
105,83.76,91.45,94.02,93.16,94.02,92.31,94.87,91.45,95.73,94.02
106,0.0,19.05,52.38,80.95,76.19,76.19,80.95,76.19,80.95,85.71
107,0.0,0.0,50.0,66.67,66.67,33.33,66.67,66.67,66.67,66.67
108,81.78,92.44,95.33,90.0,93.33,94.89,96.22,95.78,93.56,96.22
109,0.0,0.0,14.29,21.43,42.86,50.0,21.43,50.0,50.0,35.71
110,0.0,0.0,15.38,15.38,53.85,76.92,76.92,76.92,69.23,84.62
111,78.0,80.0,78.0,92.0,72.0,90.0,90.0,98.0,60.0,92.0
112,0.0,0.0,0.0,0.0,50.0,25.0,25.0,50.0,50.0,50.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,16.67,33.33,33.33,83.33,33.33,50.0,83.33,16.67,50.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1.56,82.81,84.38,98.44,95.31,92.19,87.5,96.88,95.31,92.19
119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,33.33,0.0,0.0,33.33,100.0,100.0
121,0.0,52.17,78.26,100.0,95.65,82.61,95.65,100.0,100.0,100.0
122,0.0,11.11,11.11,77.78,77.78,88.89,44.44,88.89,88.89,88.89
123,12.5,50.0,75.0,62.5,75.0,75.0,75.0,75.0,75.0,50.0
124,85.19,74.07,96.3,96.3,96.3,100.0,100.0,96.3,92.59,96.3
125,36.84,47.37,68.42,73.68,94.74,100.0,84.21,89.47,94.74,89.47
126,0.0,25.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
127,5.26,68.42,73.68,52.63,84.21,100.0,89.47,94.74,78.95,89.47
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,0.0,16.67,16.67,50.0,16.67,33.33,33.33
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
131,0.0,12.5,100.0,87.5,100.0,100.0,100.0,100.0,87.5,100.0
132,0.0,0.0,0.0,0.0,0.0,33.33,33.33,33.33,33.33,100.0
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,50.0,25.0
135,0.0,0.0,12.5,0.0,0.0,62.5,0.0,62.5,62.5,75.0
136,0.0,0.0,0.0,0.0,0.0,66.67,33.33,33.33,0.0,33.33
137,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,66.67,66.67
138,9.44,52.22,54.44,77.78,65.56,67.78,63.33,70.56,76.67,75.56
139,54.84,73.39,58.06,61.69,76.61,79.44,83.47,85.89,68.55,80.24
140,0.0,0.0,0.0,0.0,16.67,16.67,16.67,0.0,16.67,16.67
141,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,40.0,20.0
142,63.41,63.41,75.61,75.61,80.49,82.93,87.8,80.49,82.93,78.05
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,33.33,0.0,66.67,66.67,66.67
145,3.12,56.25,78.12,84.38,78.12,90.62,71.88,81.25,93.75,96.88
146,0.0,22.58,16.13,19.35,35.48,67.74,29.03,48.39,58.06,38.71
147,25.0,35.42,84.38,84.38,84.38,76.04,78.12,75.0,80.21,77.08
148,77.94,79.41,95.59,89.71,95.59,98.53,95.59,100.0,97.06,95.59
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,5.0,25.0,25.0,35.0,70.0,35.0,70.0,60.0,60.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.0,33.33,54.17,79.17,75.0,91.67,95.83,95.83,83.33,91.67
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,33.33,0.0,33.33,0.0,66.67,33.33,33.33,0.0
157,0.0,0.0,10.0,30.0,10.0,40.0,30.0,60.0,50.0,60.0
158,0.0,29.17,72.92,62.5,79.17,77.08,56.25,72.92,72.92,72.92
159,50.79,76.19,85.71,76.19,73.02,74.6,79.37,80.95,85.71,85.71
160,3.12,53.12,68.75,81.25,81.25,84.38,75.0,78.12,84.38,84.38
161,30.0,60.0,60.0,45.0,45.0,70.0,60.0,70.0,55.0,70.0
162,0.0,33.33,45.83,33.33,41.67,50.0,50.0,37.5,45.83,50.0
163,0.0,40.0,60.0,73.33,80.0,73.33,66.67,80.0,60.0,73.33
