epoch,model45,model55,model24
1,0.5018453598022461,0.5766727328300476,0.8527012467384338
2,0.25172844529151917,0.3192043900489807,0.45999589562416077
3,0.1976195126771927,0.23211845755577087,0.31704187393188477
4,0.21351802349090576,0.22786858677864075,0.27035200595855713
5,0.201571524143219,0.21078529953956604,0.23594918847084045
6,0.1832144409418106,0.2473297119140625,0.21605151891708374
7,0.22720468044281006,0.26025545597076416,0.20029760897159576
8,0.1900225281715393,0.3278001844882965,0.2063135951757431
9,0.20044179260730743,0.346502423286438,0.19399982690811157
10,0.22049379348754883,0.30799177289009094,0.19993048906326294
11,0.20675881206989288,0.29731494188308716,0.22063426673412323
12,0.20172640681266785,0.3916057050228119,0.21675437688827515
13,0.20642626285552979,0.2887182831764221,0.21272458136081696
14,0.22797222435474396,0.3229127824306488,0.22795845568180084
15,0.22598391771316528,0.3341864347457886,0.22799713909626007
16,0.23440814018249512, ,0.21991215646266937
17, , ,0.22045819461345673
