Epochs,Model_accuracy,Resolution
5,88.4126984126984,32
6,90.23809523809524,32
7,91.21693121693121,32
8,91.16071428571428,32
9,91.66666666666666,32
10,92.1031746031746,32
11,92.40929705215419,32
12,92.71825396825398,32
13,92.9453262786596,32
14,93.08730158730158,32
15,93.25396825396825,32
16,93.37301587301587,32
17,93.3974358974359,32
18,93.47505668934241,32
19,93.4920634920635,32
20,93.53422619047619,32
21,93.52941176470588,32
22,93.55820105820106,32
23,93.59649122807018,32
24,93.67857142857143,32
25,93.66780045351474,32
26,93.7012987012987,32
27,93.68702553485161,32
28,93.71031746031746,32
29,93.71111111111111,32
30,93.7408424908425,32
