Epochs,Model_accuracy,Resolution
1,2.420634920634921,131
2,45.31672222222222,131
3,69.00750793650793,131
4,78.68931349206349,131
5,85.23815476190477,131
6,83.4515158730159,131
7,87.53941269841269,131
8,87.73821031746031,131
9,89.04883333333333,131
10,88.8898253968254,131
11,87.81814682539687,131
12,89.96064285714289,131
13,91.0706746031746,131
14,90.00002777777776,131
15,86.9450912698413,131
16,88.33449206349206,131
17,90.95273015873018,131
18,92.02426984126986,131
19,88.8099126984127,131
20,90.07900396825399,131
21,91.19145238095237,131
22,91.26927380952378,131
23,92.10373412698416,131
24,90.75407539682546,131
25,88.69124603174605,131
26,89.20642857142856,131
27,91.11198015873015,131
28,90.79356746031748,131
29,91.03175396825401,131
30,90.11888888888888,131
31,92.42173809523815,131
32,90.59493253968257,131
33,92.54002777777782,131
34,89.64325793650791,131
35,92.06351190476187,131
36,93.33314682539684,131
37,92.38122222222222,131
38,91.90423412698408,131
39,91.30969841269842,131
40,90.6745753968254,131
41,90.51659523809525,131
42,91.86575396825396,131
43,91.46726587301586,131
44,91.58704365079366,131
45,90.63568253968256,131
46,90.59536904761902,131
47,91.26978571428575,131
48,91.46872619047619,131
49,90.47692460317462,131
50,91.90442857142862,131
